loc,year,orphans,children,orphan_rate
5,2004,8456,1881468.8765279555,450
8,2004,2667,752176.6538263947,355
11,2004,7631,2262756.2936727447,338
13,2004,1301,684007.2954429836,191
15,2004,1467,384890.30259494047,382
17,2004,1413,316958.33031371026,446
18,2004,706,162759.62573550193,434
19,2004,1388,483273.63920236565,288
20,2004,1140,394025.2915915861,290
23,2004,1034,577253.5178617836,180
25,2004,2358,673044.842314739,351
27,2004,222,179129.789945398,124
41,2004,1472,358747.6947212343,411
44,2004,610,290494.5952416357,210
47,2004,1190,429944.78949237056,277
50,2004,1524,295833.9142146511,516
52,2004,1097,536442.2955924396,205
54,2004,1982,466523.6691571483,425
63,2004,838,157537.28380379116,532
66,2004,1693,281459.7651251304,602
68,2004,2269,632225.5048047956,359
70,2004,610,296252.48180775065,206
73,2004,1685,454316.4733926583,371
76,2004,6769,1390062.618428287,487
81,2004,606,94179.91258947368,644
85,2004,457,132510.05497245895,345
86,2004,381,111035.0353937395,344
88,2004,58,21683.26600714482,268
91,2004,57,27836.664358643353,205
94,2004,24,14775.058823529413,163
95,2004,163,32604.454501972978,500
97,2004,18,12980.982890855457,139
99,2004,39,36875.916404299205,106
5,2005,7717,1874187.732247233,412
8,2005,2460,756347.5961099882,326
11,2005,7770,2247165.0058196136,346
13,2005,1488,686191.6479871576,217
15,2005,1436,380740.0838319806,378
17,2005,1388,309326.5815499243,449
18,2005,686,161802.29756674118,424
19,2005,1356,482483.4834602088,282
20,2005,1082,395782.6736752105,274
23,2005,953,578845.6780480979,165
25,2005,2246,674760.1251552757,333
27,2005,201,182605.1901716374,111
41,2005,1469,359342.9224930788,409
44,2005,557,295268.11303402914,189
47,2005,1012,434367.4333391192,233
50,2005,1362,300730.447369656,453
52,2005,853,533226.8824809403,160
54,2005,1903,466889.17390945007,408
63,2005,863,155066.92051163808,557
66,2005,1694,278293.9187350292,609
68,2005,2243,630857.3640811855,356
70,2005,531,296795.24862123845,179
73,2005,1867,448500.47472138784,417
76,2005,6160,1384593.5820828876,445
81,2005,471,93110.49002105262,506
85,2005,323,133482.82732728618,242
86,2005,364,112653.24775617645,324
88,2005,56,21144.50288540808,265
91,2005,56,28162.95024058209,199
94,2005,27,15480.392156862745,175
95,2005,172,32141.322731077365,536
97,2005,17,13846.61238938053,123
99,2005,20,38049.87536640973,53
5,2006,8032,1865920.6021919919,431
8,2006,2503,759468.379989149,330
11,2006,7383,2231335.7808593377,331
13,2006,1496,688109.5483455238,218
15,2006,1399,377431.4638011731,371
17,2006,1327,302807.6141940153,439
18,2006,697,161182.25147100387,433
19,2006,1424,481747.3826868863,296
20,2006,937,397704.5679494723,236
23,2006,951,580266.3755872298,164
25,2006,2312,677497.5859468802,342
27,2006,226,185647.64073614829,122
41,2006,1552,360083.25145422685,432
44,2006,490,300307.8367858164,164
47,2006,1101,438715.38952708564,251
50,2006,1445,304598.71458069363,475
52,2006,1211,530221.28283831,229
54,2006,1905,467362.9687422517,408
63,2006,796,152741.45030460425,522
66,2006,1547,275381.87930755777,562
68,2006,2223,629461.2399354897,354
70,2006,544,297288.24580819486,183
73,2006,1852,443739.0226351889,418
76,2006,5999,1379658.9999633448,435
81,2006,475,92453.47814736843,514
85,2006,323,134331.3094187608,241
86,2006,337,114019.32770923853,296
88,2006,47,20658.276724374828,228
91,2006,56,28510.882056096703,197
94,2006,30,16156.666666666666,186
95,2006,164,31859.69699868468,515
97,2006,25,14687.082005899705,171
99,2006,42,39200.78047986104,108
5,2007,7672,1855210.028505121,414
8,2007,2324,762009.2702650797,305
11,2007,7313,2210325.434097465,331
13,2007,1363,689393.3101280848,198
15,2007,1346,374146.61425439897,360
17,2007,1231,296170.3515940126,416
18,2007,662,160509.8053906832,413
19,2007,1384,480402.7533730484,289
20,2007,1073,399775.3429834884,269
23,2007,1067,581302.4853633995,184
25,2007,2243,680723.3899900707,330
27,2007,244,188645.3838238813,130
41,2007,1677,360622.7587279533,466
44,2007,461,305297.33346296824,152
47,2007,1307,442916.5018856611,296
50,2007,1414,308031.4021305552,460
52,2007,1289,526437.0323935832,245
54,2007,1778,467384.8351323206,381
63,2007,835,150105.7788403194,557
66,2007,1513,271977.0985907214,557
68,2007,2152,627535.7475823875,343
70,2007,572,297641.77806566237,193
73,2007,1870,438608.3724092113,427
76,2007,6006,1373025.031180334,438
81,2007,526,91809.55494736842,573
85,2007,356,135076.26346222355,264
86,2007,416,115240.08004820652,361
88,2007,50,20179.721077219016,248
91,2007,83,28886.265227086024,288
94,2007,41,16861.098039215685,244
95,2007,136,31609.62035154849,431
