loc,year,orphans,children,orphan_rate
5,2004,10284.37511778614,1881468.8765279555,546.6141505760555
8,2004,3898.8542144362686,752176.6538263947,518.3428912081256
11,2004,11153.143483148862,2262756.2936727447,492.9007827460675
13,2004,3113.060998941726,684007.2954429836,455.1210227846495
15,2004,2165.776577245354,384890.30259494047,562.6996997959242
17,2004,1963.5702003371507,316958.33031371026,619.5042100309219
18,2004,718.2961715206822,162759.62573550193,441.3233123845921
19,2004,2223.5804116677077,483273.63920236565,460.1079453325215
20,2004,1550.2351504999547,394025.2915915861,393.4354427448276
23,2004,2650.854401756598,577253.5178617836,459.2184057319704
25,2004,3621.4295353710154,673044.842314739,538.0666053269464
27,2004,657.7278011432542,179129.789945398,367.17946319467103
41,2004,1815.6101902541793,358747.6947212343,506.0966849320114
44,2004,1004.0444380892328,290494.5952416357,345.63274309942346
47,2004,1952.9617888388507,429944.78949237056,454.2354824545458
50,2004,1572.9797081058189,295833.9142146511,531.7104065913474
52,2004,2589.6834776443784,536442.2955924396,482.7515464239014
54,2004,2364.9964201170096,466523.6691571483,506.94028544998895
63,2004,965.7261830062475,157537.28380379116,613.014366941248
66,2004,1876.090345142657,281459.7651251304,666.5572055418263
68,2004,3334.6602865211835,632225.5048047956,527.4479218535773
70,2004,1358.27973503101,296252.48180775065,458.48720886410956
73,2004,2392.9753792847223,454316.4733926583,526.7199231000617
76,2004,8324.710171552548,1390062.618428287,598.8730335734883
81,2004,530.8457993720616,94179.91258947368,563.6507666831211
85,2004,560.4777371414376,132510.05497245895,422.969968020863
86,2004,445.29979307998485,111035.0353937395,401.044401436821
88,2004,106.72888231925519,21683.26600714482,492.21774194019997
91,2004,116.16289302216698,27836.664358643353,417.3017698009428
94,2004,49.99032381637748,14775.058823529413,338.34263818136174
95,2004,193.36730626042416,32604.454501972978,593.070208393528
97,2004,43.22598665659141,12980.982890855457,332.99471249624906
99,2004,146.44917977752172,36875.916404299205,397.14044844848337
5,2005,9415.377945673872,1874187.732247233,502.3711223626687
8,2005,3557.656670860173,756347.5961099882,470.37323700871764
11,2005,10355.461170610064,2247165.0058196136,460.823354929074
13,2005,2888.8687619936736,686191.6479871576,421.0002803834389
15,2005,2031.7417789354831,380740.0838319806,533.6295980415039
17,2005,1856.4127767967082,309326.5815499243,600.1465401049245
18,2005,696.5549176423857,161802.29756674118,430.49754429789016
19,2005,2083.7457164694792,482483.4834602088,431.87918092564695
20,2005,1461.8933549154353,395782.6736752105,369.36769903047923
23,2005,2465.0242992943486,578845.6780480979,425.85172400467036
25,2005,3392.8739530874354,674760.1251552757,502.8266826387626
27,2005,640.2488145897958,182605.1901716374,350.61917680872165
41,2005,1703.7209308592967,359342.9224930788,474.12118737140605
44,2005,956.5245241571935,295268.11303402914,323.95117587484145
47,2005,1796.9154573916892,434367.4333391192,413.6855849385932
50,2005,1424.228355776797,300730.447369656,473.58967747823164
52,2005,2389.1020405212594,533226.8824809403,448.04606050720923
54,2005,2271.8192712655396,466889.17390945007,486.5864102700619
63,2005,964.7412042158478,155066.92051163808,622.1450719681004
66,2005,1767.1238793090658,278293.9187350292,634.9847267024151
68,2005,3125.453930146905,630857.3640811855,495.42957062869255
70,2005,1262.6892630987863,296795.24862123845,425.4411985921628
73,2005,2236.392274893186,448500.47472138784,498.6376605916529
76,2005,7776.238753763743,1384593.5820828876,561.6260868453329
81,2005,460.99082076427106,93110.49002105262,495.1008427300075
85,2005,490.97277211016257,133482.82732728618,367.8171806372874
86,2005,414.9113786177144,112653.24775617645,368.3084037805434
88,2005,97.6586921641961,21144.50288540808,461.86326863986386
91,2005,110.61711542108641,28162.95024058209,392.7753110953908
94,2005,50.82015977900117,15480.392156862745,328.28728926270554
95,2005,170.5328751943315,32141.322731077365,530.5720508802946
97,2005,43.981348451122855,13846.61238938053,317.63255310630166
99,2005,129.24096478807468,38049.87536640973,339.6619924336679
5,2006,9515.598074978418,1865920.6021919919,509.9680052731054
8,2006,3521.1232187723385,759468.379989149,463.62999586930096
11,2006,10046.209111228576,2231335.7808593377,450.2329589928215
13,2006,2938.0765115496315,688109.5483455238,426.9780180516142
15,2006,1990.8079205730078,377431.4638011731,527.4620988200772
17,2006,1776.793279606506,302807.6141940153,586.7729859884159
18,2006,710.3657150391999,161182.25147100387,440.7220451111469
19,2006,2112.824822633919,481747.3826868863,438.57525719182956
20,2006,1436.7192270567114,397704.5679494723,361.25288539286885
23,2006,2524.7830541436365,580266.3755872298,435.1075920241897
25,2006,3362.148542895379,677497.5859468802,496.25985577445164
27,2006,684.9160759994525,185647.64073614829,368.9333585299311
41,2006,1736.2818912499215,360083.25145422685,482.18901718916374
44,2006,1004.2339921818665,300307.8367858164,334.4015270897175
47,2006,1856.1025929237849,438715.38952708564,423.0767001186294
50,2006,1496.2989968862457,304598.71458069363,491.2361494847508
52,2006,2438.2046459466715,530221.28283831,459.8466196782594
54,2006,2335.6189429373753,467362.9687422517,499.7441173447906
63,2006,899.1883270985326,152741.45030460425,588.6996131733256
66,2006,1644.5151399127926,275381.87930755777,597.1762354327356
68,2006,3157.8082566270273,629461.2399354897,501.66841995714543
70,2006,1298.5783143609215,297288.24580819486,436.80782293651174
73,2006,2218.2852252473863,443739.0226351889,499.907628604281
76,2006,7519.910988229781,1379658.9999633448,545.0557701888345
81,2006,457.02392515175455,92453.47814736843,494.3285361566066
85,2006,497.75876750755936,134331.3094187608,370.54560821398655
86,2006,420.5900497622122,114019.32770923853,368.87610040532934
88,2006,94.49421240117213,20658.276724374828,457.41575476950516
91,2006,111.28942761429781,28510.882056096703,390.34017746392357
94,2006,51.819254518939985,16156.666666666666,320.72986085582824
95,2006,172.46051827276344,31859.69699868468,541.3124873092278
97,2006,54.497020062684385,14687.082005899705,371.0541007450853
99,2006,141.89926847076808,39200.78047986104,361.9807226635889
5,2007,9393.290345399946,1855210.028505121,506.31951105658965
8,2007,3486.3330044882455,762009.2702650797,457.51845030382066
11,2007,10121.414118875577,2210325.434097465,457.91510891283843
13,2007,2992.99783033434,689393.3101280848,434.14953211226555
15,2007,1973.909413770056,374146.61425439897,527.5764469240679
17,2007,1700.796814254497,296170.3515940126,574.2630229868291
18,2007,691.8043387399581,160509.8053906832,431.0044093917479
19,2007,2160.836888170621,480402.7533730484,449.79694079577035
20,2007,1487.710650054639,399775.3429834884,372.1366702988695
23,2007,2587.422474249643,581302.4853633995,445.10776048585507
25,2007,3372.3306134793743,680723.3899900707,495.4039574765551
27,2007,699.6228584151553,188645.3838238813,370.8666728194742
41,2007,1835.6985146262746,360622.7587279533,509.0356806934333
44,2007,1051.4123180818,305297.33346296824,344.3896172153543
47,2007,1936.3395069158275,442916.5018856611,437.17935517690273
50,2007,1508.60034028639,308031.4021305552,489.75537229382513
52,2007,2500.6778284674983,526437.0323935832,475.01936121353674
54,2007,2255.3644216723783,467384.8351323206,482.5497645925687
63,2007,926.9242522523386,150105.7788403194,617.5140353779376
66,2007,1679.7221399772966,271977.0985907214,617.5969038132099
