loc,year,orphans,children,orphan_rate
5001,2015,2158,570141.230709508,4
5002,2015,18,5955.096513075965,4
5004,2015,1,785.6462264150944,2
5021,2015,3,1482.1521739130435,3
5030,2015,30,7815.270305676856,4
5031,2015,37,8561.245971563982,5
5034,2015,61,12326.086780445472,5
5036,2015,11,1673.101075268817,7
5038,2015,13,3891.191256830601,4
5040,2015,21,6716.444444444444,4
5042,2015,43,7734.328787140769,6
5044,2015,5,2409.149779735683,3
5045,2015,206,40643.303109485234,6
5051,2015,21,11654.274147727272,2
5055,2015,9,2906.8217821782177,4
5059,2015,3,1381.9235880398671,3
5079,2015,44,12798.807055050775,4
5086,2015,7,2077.6899488926747,4
5088,2015,252,129329.47185714652,2
5091,2015,10,3467.2911392405063,3
5093,2015,33,5453.0567465321565,7
5101,2015,54,7941.450924608819,7
5107,2015,29,3151.565943238731,10
5113,2015,9,3265.2803738317757,3
5120,2015,78,12049.373469387756,7
5125,2015,13,2905.420084865629,5
5129,2015,42,17532.9296,3
5134,2015,8,3475.091687041565,3
5138,2015,12,5153.368783473604,3
5142,2015,4,1354.0680272108843,3
5145,2015,5,1339.8562874251497,4
5147,2015,61,17020.734663434643,4
5148,2015,33,17074.596216568818,2
5150,2015,9,901.9963898916967,10
5154,2015,203,32472.82727814175,7
5172,2015,93,20989.679729952248,5
5190,2015,16,2647.9502923976606,7
5197,2015,10,5310.794072948328,2
5206,2015,3,1389.935691318328,3
5209,2015,21,6424.647814910026,4
5212,2015,43,17310.574468085106,3
5234,2015,19,10020.40595340811,2
5237,2015,22,5550.84358390281,4
5240,2015,10,3224.140186915888,4
5250,2015,131,20739.33654773385,7
5264,2015,14,3390.337164750958,5
5266,2015,82,41354.45264452645,2
5282,2015,18,6086.602711864407,3
5284,2015,22,8365.631815907955,3
5306,2015,9,1881.3319238900635,5
5308,2015,40,12277.936430942047,4
5310,2015,14,2695.9452887537996,6
5313,2015,9,3896.9902676399024,3
5315,2015,4,2068.467043314501,2
5318,2015,35,13313.553395154053,3
5321,2015,3,2145.232044198895,2
5347,2015,2,1425.720867208672,2
5353,2015,1,1584.4262295081967,1
5360,2015,161,60774.87804878049,3
5361,2015,34,8123.463099630996,5
5364,2015,21,3964.767060964513,6
5368,2015,8,3507.0852017937223,3
5376,2015,50,15970.082004555808,4
5380,2015,33,15894.521278721279,3
5390,2015,7,2501.4952638700947,3
5400,2015,14,6128.0541535226075,3
5411,2015,2,3111.4493580599146,1
5425,2015,20,2821.1609195402298,8
5440,2015,44,18257.265194532072,3
5467,2015,12,1912.7306122448979,7
5475,2015,2,2470.8245614035086,1
5480,2015,46,5971.935578330893,8
5483,2015,12,3641.099210822999,4
5490,2015,63,17640.938482886217,4
5495,2015,19,10522.329190056134,2
5501,2015,1,944.1709401709402,2
5541,2015,14,5840.204697986577,3
5543,2015,4,3032.5532467532466,2
5576,2015,7,2733.771851851852,3
5579,2015,70,11674.528968014483,6
5585,2015,13,4580.467298578199,3
5591,2015,20,5461.1064388961895,4
5604,2015,42,10485.621886120996,5
5607,2015,11,5496.088412592097,3
5615,2015,100,31157.25793222534,4
5628,2015,5,3300.7303370786517,2
5631,2015,22,15890.327152863618,2
5642,2015,89,5752.565337001375,16
5647,2015,15,2721.912225705329,6
5649,2015,9,5455.054953560371,2
5652,2015,9,2183.3797468354433,5
5656,2015,16,4338.950563746747,4
5658,2015,3,1288.1869158878505,3
5659,2015,22,8363.286090390522,3
5660,2015,15,4852.964593301435,4
5664,2015,38,6418.792993630574,6
5665,2015,27,11730.04396266185,3
5667,2015,9,4735.716324710081,2
5670,2015,27,6819.69758812616,4
5674,2015,11,6409.715282181357,2
5679,2015,37,6971.436681222707,6
5686,2015,38,11416.770654329148,4
5690,2015,9,3636.860606060606,3
5697,2015,31,11710.095665171899,3
5736,2015,76,13033.041371158393,6
5756,2015,36,11332.638073243153,4
5761,2015,19,4214.873542600897,5
5789,2015,8,4347.466932270916,2
5790,2015,114,10748.1421425594,11
5792,2015,7,1854.7069271758437,4
5809,2015,7,2769.7858197932055,3
5819,2015,9,1861.302222222222,5
5837,2015,250,49674.10958366064,6
5842,2015,10,2622.117739403454,4
5847,2015,32,10962.806129476585,3
5854,2015,24,5369.459854014599,5
5856,2015,4,1828.888888888889,3
5858,2015,16,4026.327239488117,4
5861,2015,9,2794.653395784543,4
5873,2015,1,4262.689271255061,1
5885,2015,7,2520.3982905982907,3
5887,2015,91,13589.808368200836,7
5890,2015,18,7139.21512605042,3
5893,2015,32,7155.982477341389,5
5895,2015,55,10438.047619047618,6
8001,2015,1870,345038.9355626685,6
8078,2015,33,18808.679012345678,2
8137,2015,9,8247.122065727699,2
8141,2015,12,5528.254,3
8296,2015,32,19748.029805120368,2
8372,2015,2,6241,1
8421,2015,22,9584.07129595247,3
8433,2015,78,41974.014700795575,2
8436,2015,13,7415.319201995013,2
8520,2015,13,8882.741085899514,2
8549,2015,2,1956.2068965517242,2
8558,2015,8,5785.511235955057,2
8560,2015,8,8226.356867779205,1
8573,2015,19,13824.334968465311,2
8606,2015,14,8947.066770186335,2
8634,2015,25,10186.274688237278,3
8638,2015,64,30139.959595959597,3
8675,2015,3,5621.499230769231,1
8685,2015,16,8670.061098221191,2
8758,2015,338,183310.98019862804,2
8770,2015,3,4130.708333333333,1
8832,2015,1,5012.010879419764,1
8849,2015,4,3608.424349881797,2
11001,2015,6034,1876969.430205126,4
13001,2015,1234,304960.7810647831,5
13006,2015,12,8543.421451787648,2
13030,2015,3,4289.300613496933,1
13042,2015,7,2812.6997455470737,3
13052,2015,45,22183.68311195446,3
13062,2015,4,2778.7671410090556,2
13074,2015,8,5976.875,2
13140,2015,10,7577.986232216613,2
13160,2015,10,2745.930269413629,4
13188,2015,8,4834.100686498856,2
13212,2015,2,5306.6292517006805,1
13222,2015,3,5096.809590973202,1
13244,2015,54,23916.053389697823,3
13248,2015,1,2519.4108983799706,1
13268,2015,0,3251.6428571428573,0
13300,2015,2,5064.402029664325,1
13430,2015,102,44451.88192771084,3
13433,2015,12,8869.355129650507,2
13440,2015,2,3502.7840269966255,1
13442,2015,36,16624.142678868553,3
13458,2015,2,6005.8,1
13468,2015,28,15374.465702286514,2
13473,2015,3,7947.1465940054495,1
13490,2015,0,3275.97,0
13549,2015,3,9168.829705994654,1
13580,2015,5,2545.577696526508,2
13600,2015,2,3869.2853333333333,1
13620,2015,2,2572.1369472182596,1
13647,2015,2,5802.0703125,1
13650,2015,3,4542.875123885035,1
13654,2015,6,7741.224919835089,1
13655,2015,0,3457.109223300971,0
13657,2015,11,10964.091989987484,2
13667,2015,6,6633.366089965398,1
13670,2015,17,10223.9921875,2
13673,2015,2,4822.712328767123,1
13683,2015,21,6858.808920704846,4
13688,2015,32,11591.536553524804,3
13744,2015,13,6184.455722070845,3
13760,2015,6,3161.5209125475285,2
13780,2015,5,5168.694006309148,1
13810,2015,6,7594.825991189427,1
13836,2015,26,33308.38458915786,1
13838,2015,3,5010.16,1
13873,2015,10,8117.13616398243,2
13894,2015,4,4047.9504132231405,1
15001,2015,191,45503.94103387276,5
15022,2015,0,535.8818897637796,0
15047,2015,20,5083.794871794872,4
15051,2015,7,1747.4802259887006,5
15087,2015,8,2210.1378299120233,4
15090,2015,2,453.8217054263566,5
15092,2015,0,519.6083916083916,0
15097,2015,2,1613.1146788990825,2
15104,2015,10,1533.0938215102974,7
15106,2015,0,675.7929292929293,0
15109,2015,5,1271.3521126760563,4
15114,2015,0,314.82278481012656,0
15131,2015,0,926.5234657039712,0
15135,2015,2,1061.0039215686274,2
15162,2015,0,949.2984126984127,0
15172,2015,2,832.6810344827586,3
15176,2015,81,16599.882932373555,5
15180,2015,0,1180.6829268292684,0
15183,2015,10,3249.797953964194,4
15185,2015,8,1884.2518159806295,5
15187,2015,4,994.2405063291139,5
15189,2015,3,1503.729064039409,2
15204,2015,6,2827.3604790419163,3
