loc,year,orphans,children,orphan_rate
5001,2015,2819,570141.230709508,5
5002,2015,34,5955.096513075965,6
5004,2015,0,785.6462264150944,0
5021,2015,6,1482.1521739130435,5
5030,2015,40,7815.270305676856,6
5031,2015,40,8561.245971563982,5
5034,2015,70,12326.086780445472,6
5036,2015,8,1673.101075268817,5
5038,2015,20,3891.191256830601,6
5040,2015,29,6716.444444444444,5
5042,2015,40,7734.328787140769,6
5044,2015,10,2409.149779735683,5
5045,2015,224,40643.303109485234,6
5051,2015,46,11654.274147727272,4
5055,2015,12,2906.8217821782177,5
5059,2015,7,1381.9235880398671,6
5079,2015,69,12798.807055050775,6
5086,2015,7,2077.6899488926747,4
5088,2015,599,129329.47185714652,5
5091,2015,21,3467.2911392405063,7
5093,2015,33,5453.0567465321565,7
5101,2015,50,7941.450924608819,7
5107,2015,16,3151.565943238731,6
5113,2015,16,3265.2803738317757,5
5120,2015,64,12049.373469387756,6
5125,2015,14,2905.420084865629,5
5129,2015,97,17532.9296,6
5134,2015,17,3475.091687041565,5
5138,2015,22,5153.368783473604,5
5142,2015,7,1354.0680272108843,6
5145,2015,6,1339.8562874251497,5
5147,2015,71,17020.734663434643,5
5148,2015,69,17074.596216568818,5
5150,2015,6,901.9963898916967,7
5154,2015,152,32472.82727814175,5
5172,2015,104,20989.679729952248,5
5190,2015,18,2647.9502923976606,7
5197,2015,23,5310.794072948328,5
5206,2015,6,1389.935691318328,5
5209,2015,36,6424.647814910026,6
5212,2015,92,17310.574468085106,6
5234,2015,33,10020.40595340811,4
5237,2015,23,5550.84358390281,5
5240,2015,19,3224.140186915888,6
5250,2015,90,20739.33654773385,5
5264,2015,17,3390.337164750958,6
5266,2015,270,41354.45264452645,7
5282,2015,36,6086.602711864407,6
5284,2015,29,8365.631815907955,4
5306,2015,7,1881.3319238900635,4
5308,2015,60,12277.936430942047,5
5310,2015,17,2695.9452887537996,7
5313,2015,17,3896.9902676399024,5
5315,2015,8,2068.467043314501,4
5318,2015,65,13313.553395154053,5
5321,2015,8,2145.232044198895,4
5347,2015,8,1425.720867208672,6
5353,2015,8,1584.4262295081967,6
5360,2015,324,60774.87804878049,6
5361,2015,61,8123.463099630996,8
5364,2015,20,3964.767060964513,6
5368,2015,20,3507.0852017937223,6
5376,2015,74,15970.082004555808,5
5380,2015,83,15894.521278721279,6
5390,2015,13,2501.4952638700947,6
5400,2015,27,6128.0541535226075,5
5411,2015,17,3111.4493580599146,6
5425,2015,15,2821.1609195402298,6
5440,2015,71,18257.265194532072,4
5467,2015,10,1912.7306122448979,6
5475,2015,5,2470.8245614035086,3
5480,2015,32,5971.935578330893,6
5483,2015,19,3641.099210822999,6
5490,2015,65,17640.938482886217,4
5495,2015,39,10522.329190056134,4
5501,2015,1,944.1709401709402,2
5541,2015,26,5840.204697986577,5
5543,2015,12,3032.5532467532466,4
5576,2015,13,2733.771851851852,5
5579,2015,74,11674.528968014483,7
5585,2015,22,4580.467298578199,5
5591,2015,28,5461.1064388961895,6
5604,2015,41,10485.621886120996,4
5607,2015,27,5496.088412592097,5
5615,2015,156,31157.25793222534,6
5628,2015,14,3300.7303370786517,5
5631,2015,96,15890.327152863618,7
5642,2015,76,5752.565337001375,14
5647,2015,11,2721.912225705329,5
5649,2015,23,5455.054953560371,5
5652,2015,7,2183.3797468354433,4
5656,2015,21,4338.950563746747,5
5658,2015,5,1288.1869158878505,4
5659,2015,30,8363.286090390522,4
5660,2015,18,4852.964593301435,4
5664,2015,37,6418.792993630574,6
5665,2015,50,11730.04396266185,5
5667,2015,24,4735.716324710081,6
5670,2015,30,6819.69758812616,5
5674,2015,30,6409.715282181357,5
5679,2015,37,6971.436681222707,6
5686,2015,49,11416.770654329148,5
5690,2015,20,3636.860606060606,6
5697,2015,41,11710.095665171899,4
5736,2015,75,13033.041371158393,6
5756,2015,54,11332.638073243153,5
5761,2015,21,4214.873542600897,5
5789,2015,25,4347.466932270916,6
5790,2015,84,10748.1421425594,8
5792,2015,8,1854.7069271758437,5
5809,2015,17,2769.7858197932055,7
5819,2015,7,1861.302222222222,4
5837,2015,252,49674.10958366064,6
5842,2015,9,2622.117739403454,4
5847,2015,43,10962.806129476585,4
5854,2015,23,5369.459854014599,5
5856,2015,8,1828.888888888889,5
5858,2015,19,4026.327239488117,5
5861,2015,18,2794.653395784543,7
5873,2015,13,4262.689271255061,4
5885,2015,11,2520.3982905982907,5
5887,2015,77,13589.808368200836,6
5890,2015,36,7139.21512605042,6
5893,2015,35,7155.982477341389,5
5895,2015,51,10438.047619047618,5
8001,2015,1871,345038.9355626685,6
8078,2015,80,18808.679012345678,5
8137,2015,39,8247.122065727699,5
8141,2015,23,5528.254,5
8296,2015,66,19748.029805120368,4
8372,2015,28,6241,5
8421,2015,43,9584.07129595247,5
8433,2015,158,41974.014700795575,4
8436,2015,27,7415.319201995013,4
8520,2015,39,8882.741085899514,5
8549,2015,8,1956.2068965517242,5
8558,2015,24,5785.511235955057,5
8560,2015,36,8226.356867779205,5
8573,2015,56,13824.334968465311,5
8606,2015,40,8947.066770186335,5
8634,2015,42,10186.274688237278,5
8638,2015,124,30139.959595959597,5
8675,2015,22,5621.499230769231,4
8685,2015,39,8670.061098221191,5
8758,2015,667,183310.98019862804,4
8770,2015,19,4130.708333333333,5
8832,2015,25,5012.010879419764,5
8849,2015,18,3608.424349881797,5
11001,2015,8804,1876969.430205126,5
13001,2015,1308,304960.7810647831,5
13006,2015,39,8543.421451787648,5
13030,2015,18,4289.300613496933,5
13042,2015,13,2812.6997455470737,5
13052,2015,105,22183.68311195446,5
13062,2015,18,2778.7671410090556,7
13074,2015,24,5976.875,5
13140,2015,38,7577.986232216613,6
13160,2015,14,2745.930269413629,6
13188,2015,21,4834.100686498856,5
13212,2015,26,5306.6292517006805,5
13222,2015,23,5096.809590973202,5
13244,2015,123,23916.053389697823,6
13248,2015,17,2519.4108983799706,7
13268,2015,14,3251.6428571428573,5
13300,2015,23,5064.402029664325,5
13430,2015,204,44451.88192771084,5
13433,2015,43,8869.355129650507,5
13440,2015,20,3502.7840269966255,6
13442,2015,73,16624.142678868553,5
13458,2015,29,6005.8,5
13468,2015,64,15374.465702286514,5
13473,2015,36,7947.1465940054495,5
13490,2015,4,3275.97,2
13549,2015,41,9168.829705994654,5
13580,2015,7,2545.577696526508,3
13600,2015,19,3869.2853333333333,5
13620,2015,12,2572.1369472182596,5
13647,2015,27,5802.0703125,5
13650,2015,21,4542.875123885035,5
13654,2015,41,7741.224919835089,6
13655,2015,18,3457.109223300971,6
13657,2015,65,10964.091989987484,6
13667,2015,27,6633.366089965398,5
13670,2015,42,10223.9921875,5
13673,2015,23,4822.712328767123,5
13683,2015,35,6858.808920704846,6
13688,2015,49,11591.536553524804,5
13744,2015,27,6184.455722070845,5
13760,2015,17,3161.5209125475285,6
13780,2015,21,5168.694006309148,5
13810,2015,30,7594.825991189427,4
13836,2015,136,33308.38458915786,5
13838,2015,24,5010.16,5
13873,2015,38,8117.13616398243,5
13894,2015,23,4047.9504132231405,6
15001,2015,214,45503.94103387276,5
15022,2015,1,535.8818897637796,2
15047,2015,23,5083.794871794872,5
15051,2015,6,1747.4802259887006,4
15087,2015,9,2210.1378299120233,5
15090,2015,0,453.8217054263566,0
15092,2015,0,519.6083916083916,0
15097,2015,8,1613.1146788990825,5
15104,2015,8,1533.0938215102974,6
15106,2015,0,675.7929292929293,0
15109,2015,7,1271.3521126760563,6
15114,2015,0,314.82278481012656,0
15131,2015,4,926.5234657039712,5
15135,2015,5,1061.0039215686274,5
15162,2015,2,949.2984126984127,3
15172,2015,4,832.6810344827586,5
15176,2015,85,16599.882932373555,6
15180,2015,6,1180.6829268292684,6
15183,2015,15,3249.797953964194,5
15185,2015,7,1884.2518159806295,4
15187,2015,0,994.2405063291139,0
15189,2015,6,1503.729064039409,4
15204,2015,27,2827.3604790419163,10
15212,2015,4,1124.2,4
15215,2015,0,671.1428571428571,0
15218,2015,4,929.5915492957747,5
15223,2015,16,4631.8626373626375,4
15224,2015,5,1200.8971061093248,5
15226,2015,0,614.6984126984127,0
15232,2015,6,1508.3946731234867,4
15236,2015,3,773.8727272727273,4
15238,2015,151,31933.339629990263,5
15244,2015,7,1474.2189349112425,5
15248,2015,0,802.5195729537367,0
15272,2015,6,1748.606361829026,4
15276,2015,3,877.0038022813688,4
15293,2015,4,878.780269058296,5
15296,2015,7,1623.0128205128206,5
15299,2015,23,4676.216696269982,5
15317,2015,0,585.2323943661972,0
15322,2015,16,2637.34375,7
15325,2015,5,828.4919786096257,7
15332,2015,5,1628.3224181360201,4
15362,2015,0,577.5328947368421,0
15367,2015,9,2162.6282722513088,5
15368,2015,7,1244.3309608540926,6
15377,2015,7,963.344537815126,8
15380,2015,1,726.566265060241,2
15401,2015,0,325,0
15403,2015,5,977.0081300813008,6
15407,2015,19,4252.744804655029,5
15425,2015,6,1301,5
15442,2015,9,1787.6197718631179,6
15455,2015,12,2339.824925816024,6
15464,2015,6,1537.3316062176166,4
15466,2015,4,1380.7073170731708,3
15469,2015,35,6143.6682134570765,6
15476,2015,7,1914.9014373716632,4
15480,2015,15,2592.01646090535,6
15491,2015,19,4412.886988847584,5
15494,2015,6,1478.4266666666667,5
15500,2015,0,848.9328358208955,0
15507,2015,13,2599.59793814433,6
15511,2015,1,630.6739130434783,2
15514,2015,4,1019.2448132780083,4
15516,2015,40,9212.481048529933,5
15518,2015,0,766.735632183908,0
15522,2015,0,557.3623188405797,0
15531,2015,12,2040.3880341880342,6
15533,2015,4,961.6016597510373,5
15537,2015,5,1243.8696969696969,5
15542,2015,8,2396.848184818482,4
15550,2015,0,634.6781609195402,0
15572,2015,91,14559.364991159384,7
15580,2015,8,1337.8944591029024,6
15599,2015,14,3062.3303269447574,5
15600,2015,8,2273.6457680250783,4
15621,2015,0,743.0357142857142,0
15632,2015,20,4315.381471389646,5
15638,2015,5,1726.7864693446088,3
15646,2015,28,6112.126104890984,5
15660,2015,0,465.8769230769231,0
15664,2015,7,1361.3363363363364,6
15667,2015,7,1621.848167539267,5
15673,2015,3,1073.6395759717313,3
15676,2015,1,964.4008438818565,2
15681,2015,10,2116.9405772495757,5
15686,2015,13,2219.572347266881,6
15690,2015,6,1083.4172661870502,6
15693,2015,17,3122.1405857740588,6
15696,2015,4,961.2382978723405,5
15720,2015,1,607.4901960784314,2
15723,2015,0,310.3333333333333,0
15740,2015,8,2489.651376146789,4
15753,2015,11,2533.6898079763664,5
15755,2015,14,2585.2375776397516,6
15757,2015,7,2520.896923076923,3
15759,2015,162,33361.7657103147,5
15761,2015,3,608.3023255813954,5
15762,2015,3,961.609756097561,4
15763,2015,11,2657.346666666667,5
