age,gender,year,loc,deaths,nb_c,orphans
10-14,Female,2004,5,69,0.010961367003671429,1
10-14,Male,2004,5,105,3.3479421063358807e-4,0
15-19,Female,2004,5,164,0.27673245231736454,45
15-19,Male,2004,5,581,0.07072828300595335,41
20-24,Female,2004,5,170,0.8368111166347759,142
20-24,Male,2004,5,911,0.4270854436465302,389
25-29,Female,2004,5,145,1.4092717523398168,204
25-29,Male,2004,5,816,0.9949650529457137,812
30-34,Female,2004,5,174,1.7741041637844175,309
30-34,Male,2004,5,654,1.5143266972801475,990
35-39,Female,2004,5,208,1.6236333950222472,338
35-39,Male,2004,5,691,1.7556708138752644,1213
40-44,Female,2004,5,331,1.1453097176828644,379
40-44,Male,2004,5,684,1.52835961747582,1045
45-49,Female,2004,5,426,0.6653812654408275,283
45-49,Male,2004,5,673,1.0999134441260356,740
50-54,Male,2004,5,765,0.6966211136959665,533
50-66,Female,2004,5,2392,0.11907664879442754,285
55-59,Male,2004,5,771,0.39236891105219096,303
60-76,Male,2004,5,4247,0.09514311500955161,404
10-14,Female,2004,8,26,0.006149222885655423,0
10-14,Male,2004,8,29,1.7607746843406044e-4,0
15-19,Female,2004,8,35,0.23570529357374886,8
15-19,Male,2004,8,124,0.061087180776836426,8
20-24,Female,2004,8,57,0.7909624410471703,45
20-24,Male,2004,8,228,0.41131601517283706,94
25-29,Female,2004,8,57,1.4093359165098707,80
25-29,Male,2004,8,233,1.0090318406130425,235
30-34,Female,2004,8,76,1.818189833293874,138
30-34,Male,2004,8,207,1.6037483340303107,332
35-39,Female,2004,8,80,1.7249375900432908,138
35-39,Male,2004,8,185,1.9183832441601083,355
40-44,Female,2004,8,124,1.2036330799089643,149
40-44,Male,2004,8,199,1.6927363755659337,337
45-49,Female,2004,8,139,0.6347541741363161,88
45-49,Male,2004,8,208,1.1688835583407566,243
50-54,Male,2004,8,232,0.6794126534222996,158
50-66,Female,2004,8,706,0.09484807777493953,67
55-59,Male,2004,8,267,0.3401799542378846,91
60-76,Male,2004,8,1339,0.0754794796909945,101
10-14,Female,2004,11,70,0.004843943952097366,0
10-14,Male,2004,11,99,2.6067821175690907e-4,0
15-19,Female,2004,11,119,0.22063332399644942,26
15-19,Male,2004,11,339,0.07065498363674384,24
20-24,Female,2004,11,161,0.7475466631855052,120
20-24,Male,2004,11,649,0.39115135204995766,254
25-29,Female,2004,11,195,1.3753332260391158,268
