age,gender,year,loc,deaths,nb_c,orphans
10-14,Female,2004,5,95.547,0.010428220550232797,1
10-14,Male,2004,5,144.38,3.4518861641858595e-4,0
15-19,Female,2004,5,176.0095,0.29646287692234863,52
15-19,Male,2004,5,561.035,0.07449999681002613,42
20-24,Female,2004,5,216.014,0.9097784571459502,197
20-24,Male,2004,5,962.143,0.4544709878906053,437
25-29,Female,2004,5,194.1615,1.5454448233183404,300
25-29,Male,2004,5,818.4304999999999,1.0494745446834652,859
30-34,Female,2004,5,203.2245,1.9785883672988591,402
30-34,Male,2004,5,720.006,1.6246230664047152,1170
35-39,Female,2004,5,279.796,1.8471774189302337,517
35-39,Male,2004,5,762.931,1.9266986007648916,1470
40-44,Female,2004,5,382.1225,1.2956254920512351,495
40-44,Male,2004,5,759.788,1.7026490922677724,1294
45-49,Female,2004,5,480.604,0.73128230460879,351
45-49,Male,2004,5,767.4404999999999,1.226293087443346,941
50-54,Male,2004,5,800.068,0.7596893564648297,608
50-66,Female,2004,5,2516.9135,0.12585623233972573,317
55-59,Male,2004,5,873.1115,0.424284152540665,370
60-76,Male,2004,5,4534.958,0.10179626844346043,462
10-14,Female,2004,8,34.198499999999996,0.010532870672814202,0
10-14,Male,2004,8,51.669,3.4470813886174e-4,0
15-19,Female,2004,8,65.6185,0.30263645762283753,20
15-19,Male,2004,8,209.29749999999999,0.07581820059214348,16
20-24,Female,2004,8,83.5405,0.9390354045258313,78
20-24,Male,2004,8,376.6255,0.4668673566089896,176
25-29,Female,2004,8,77.0275,1.6053388292871182,124
25-29,Male,2004,8,334.96999999999997,1.0863461530905132,364
30-34,Female,2004,8,77.3125,2.059381975823829,159
30-34,Male,2004,8,285.5785,1.6871749579475994,482
35-39,Female,2004,8,98.666,1.92610600455123,190
35-39,Male,2004,8,279.1445,2.0026002907536062,559
40-44,Female,2004,8,132.5495,1.3532670988482876,179
40-44,Male,2004,8,271.336,1.770408313863923,480
45-49,Female,2004,8,164.3095,0.764022028566036,126
45-49,Male,2004,8,267.1395,1.275014300257674,341
50-54,Male,2004,8,273.50100000000003,0.78965287608759,216
50-66,Female,2004,8,836.4435000000001,0.131514666668421,110
55-59,Male,2004,8,286.753,0.4408597553965066,126
60-76,Male,2004,8,1441.8375,0.1057952089123253,153
10-14,Female,2004,11,96.894,0.008883197186761674,1
10-14,Male,2004,11,153.237,2.9196592739582386e-4,0
15-19,Female,2004,11,179.983,0.2559401512707952,46
15-19,Male,2004,11,599.426,0.06385135143850544,38
20-24,Female,2004,11,252.1135,0.8175226057835775,206
20-24,Male,2004,11,1124.4145,0.39989456884648533,450
25-29,Female,2004,11,247.785,1.4514169514916468,360
25-29,Male,2004,11,1068.6695,0.9598426926175767,1026
30-34,Female,2004,11,246.7895,1.9101012205349321,471
30-34,Male,2004,11,915.017,1.5403126860773046,1409
35-39,Female,2004,11,313.358,1.807920324589774,567
35-39,Male,2004,11,876.5125,1.8649640483792629,1635
40-44,Female,2004,11,419.5965,1.2818277242722156,538
40-44,Male,2004,11,833.7895,1.6666123646566287,1390
45-49,Female,2004,11,519.608,0.7303758514119465,380
45-49,Male,2004,11,803.7695,1.2076307141165452,971
50-54,Male,2004,11,807.686,0.7501234531184585,606
50-66,Female,2004,11,2556.126,0.12655379498385805,323
55-59,Male,2004,11,840.5115,0.41991272522239137,353
60-76,Male,2004,11,3783.2925,0.10172096033247253,385
10-14,Female,2004,13,29.951999999999998,0.011638083299394432,0
10-14,Male,2004,13,44.939,3.8421262171349247e-4,0
15-19,Female,2004,13,56.309000000000005,0.33244993051043065,19
15-19,Male,2004,13,178.7555,0.08393598028048893,15
20-24,Female,2004,13,66.204,1.0047818745960313,67
20-24,Male,2004,13,303.866,0.5098707534854765,155
25-29,Female,2004,13,61.159,1.6494820928480505,101
25-29,Male,2004,13,273.0115,1.1515455924523286,314
30-34,Female,2004,13,60.771,2.052012218315651,125
30-34,Male,2004,13,235.8125,1.7240215300557702,407
35-39,Female,2004,13,74.84750000000001,1.8921900119892152,142
35-39,Male,2004,13,225.409,1.9975699670576188,450
40-44,Female,2004,13,95.8125,1.314979633007575,126
40-44,Male,2004,13,208.6545,1.7434593225854973,364
45-49,Female,2004,13,118.628,0.733615892479476,87
45-49,Male,2004,13,207.4085,1.2453018612352238,258
50-54,Male,2004,13,219.6905,0.7680291247860502,169
50-66,Female,2004,13,642.5835,0.1252363979110109,80
55-59,Male,2004,13,234.9,0.4280493003339289,101
60-76,Male,2004,13,1323.0145,0.10148774073694843,134
10-14,Female,2004,15,18.524,0.011097780824893416,0
10-14,Male,2004,15,26.8815,3.6293636868143386e-4,0
15-19,Female,2004,15,36.159,0.31759871878179613,11
15-19,Male,2004,15,112.0625,0.07973704068151723,9
20-24,Female,2004,15,41.0135,0.9819802858554069,40
20-24,Male,2004,15,192.52,0.4896737045083754,94
25-29,Female,2004,15,37.348,1.6663076852413172,62
25-29,Male,2004,15,172.132,1.136700902061831,196
30-34,Female,2004,15,38.281,2.12596801436378,81
30-34,Male,2004,15,145.627,1.7515429485537253,255
35-39,Female,2004,15,48.201,1.9848381823095178,96
35-39,Male,2004,15,138.023,2.0645804935458836,285
40-44,Female,2004,15,65.204,1.391269650731595,91
40-44,Male,2004,15,136.624,1.814675615975287,248
45-49,Female,2004,15,86.91,0.782672555237647,68
45-49,Male,2004,15,146.7495,1.302088409972323,191
50-54,Male,2004,15,164.06,0.8037830483335481,132
50-66,Female,2004,15,556.7805,0.1343014398689426,75
55-59,Male,2004,15,187.743,0.447575115126481,84
60-76,Male,2004,15,1380.779,0.10659983963871421,147
10-14,Female,2004,17,16.5435,0.009884400886843323,0
10-14,Male,2004,17,25.0005,3.2637392469718387e-4,0
15-19,Female,2004,17,31.892500000000002,0.2823435096210665,9
15-19,Male,2004,17,101.6835,0.07086641333448385,7
20-24,Female,2004,17,39.689,0.8718289141493084,35
20-24,Male,2004,17,180.95,0.4347727263225739,79
25-29,Female,2004,17,35.2755,1.4897202640555782,53
25-29,Male,2004,17,158.7675,1.0104671515363175,160
30-34,Female,2004,17,37.2755,1.9124830545572973,71
30-34,Male,2004,17,141.348,1.5706047962158123,222
35-39,Female,2004,17,50.1765,1.7893982329144322,90
35-39,Male,2004,17,143.4115,1.8653710664495313,268
40-44,Female,2004,17,71.757,1.257095005564776,90
40-44,Male,2004,17,147.587,1.6501885784642742,244
