age,gender,year,loc,deaths,nb_c,orphans
10-14,Female,2004,5,69,0.010187007413106476,0.7029035115043468
10-14,Male,2004,5,111,1.5211018058079053e-4,0.01688423004446775
15-19,Female,2004,5,144,0.29529549096428037,42.52255069885637
15-19,Male,2004,5,537,0.07386347207199616,39.664684502661935
20-24,Female,2004,5,183,0.9060507691566622,165.8072907556692
20-24,Male,2004,5,940.5,0.45205772281834367,425.1602883106522
25-29,Female,2004,5,163,1.5393289323854864,250.91061597883427
25-29,Male,2004,5,796.5,1.044371329766539,831.8417641590482
30-34,Female,2004,5,172.5,1.9711306511231426,340.0200373187421
30-34,Male,2004,5,702,1.6179557084918672,1135.8049073612908
35-39,Female,2004,5,251.5,1.8398291196250456,462.71702358569894
35-39,Male,2004,5,741,1.9190431393958887,1422.0109662923535
40-44,Female,2004,5,358,1.2902697730634047,461.91657875669887
40-44,Male,2004,5,739.5,1.696353496999696,1254.4534110312752
45-49,Female,2004,5,451.5,0.7270014299689509,328.24114563098135
45-49,Male,2004,5,747.5,1.2204625008522465,912.2957193870543
50-54,Male,2004,5,782.5,0.7549638469280905,590.7592102212308
50-66,Female,2004,5,2438.5,0.12413257740726481,302.69729000761527
55-59,Male,2004,5,851,0.4197498650043458,357.20713511869826
60-76,Male,2004,5,4441.5,0.09937434503594161,441.37115347713467
10-14,Female,2004,8,27,0.01043858420047311,0.28184177341277394
10-14,Male,2004,8,45,2.2251699848305337e-4,0.010013264931737402
15-19,Female,2004,8,61,0.3021864403822764,18.43337286331886
15-19,Male,2004,8,204,0.07546138584655333,15.39412271269688
20-24,Female,2004,8,80,0.9367531365520628,74.94025092416503
20-24,Male,2004,8,375,0.4651337708038048,174.4251640514268
25-29,Female,2004,8,71.5,1.6009629890564017,114.46885371753272
25-29,Male,2004,8,331,1.0826319230640773,358.3511665342096
30-34,Female,2004,8,72,2.0536904422620266,147.86571184286592
30-34,Male,2004,8,282.5,1.6815635845937829,475.0417126477437
35-39,Female,2004,8,95,1.9205741338455486,182.4545427153271
35-39,Male,2004,8,275,1.9962021641329917,548.9555951365727
40-44,Female,2004,8,128,1.3500521430654213,172.80667431237393
40-44,Male,2004,8,267,1.7661774119303746,471.56936898541
45-49,Female,2004,8,162,0.7609224572755159,123.26943807863357
45-49,Male,2004,8,263,1.271002484401889,334.2736533976968
50-54,Male,2004,8,269,0.7863677086330044,211.5329136222782
50-66,Female,2004,8,818.5,0.13050070139844758,106.81482409462934
55-59,Male,2004,8,282,0.43788471344043656,123.48348919020312
60-76,Male,2004,8,1429.5,0.10429652303178401,149.09187967393524
10-14,Female,2004,11,96,0.008852917769787477,0.8498801058995977
10-14,Male,2004,11,152,2.867929967067657e-4,0.04359253549942838
15-19,Female,2004,11,179,0.2556302645008759,45.75781734565678
15-19,Male,2004,11,596,0.06376605431830891,38.00456837371211
