Department,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antioquia,8456,7717,8032,7672,8040,9186,8510,7573,7051,6347,5931,5969,6080,5874,6166,5816,6227,8550
Atlántico,2667,2460,2503,2324,2227,2325,2141,1792,2156,2281,2345,2481,2503,2616,2679,2621,3690,4627
Bogotá,7631,7770,7383,7313,7051,7036,6968,6645,6246,5933,5927,6034,5898,5333,5484,5509,6891,9198
Bolívar,1301,1488,1496,1363,1394,1477,1366,1415,1403,1374,1570,1670,1676,1907,1909,1924,2500,2818
Boyacá,1467,1436,1399,1346,1342,1266,1339,1237,1230,1183,1138,1137,1188,1052,1059,988,1161,1595
Caldas,1413,1388,1327,1231,1148,1067,1039,990,902,876,822,784,746,718,753,682,678,989
Caquetá,706,686,697,662,585,545,567,545,565,587,538,538,525,526,542,518,635,690
Cauca,1388,1356,1424,1384,1274,1284,1236,1186,1163,1073,1102,1138,1110,1072,1188,1253,1304,1553
Cesar,1140,1082,937,1073,1109,1103,1025,1074,1040,1152,1079,1168,1136,1170,1396,1322,1634,2190
Córdoba,1034,953,951,1067,1122,1421,1363,1382,1239,1258,1185,1231,1228,1338,1450,1475,1880,2077
Cundinamarca,2358,2246,2312,2243,2074,2170,2340,2130,2173,2325,2187,2308,2335,2324,2231,2223,2707,4026
Chocó,222,201,226,244,241,259,225,281,284,249,264,261,275,279,283,309,387,489
Huila,1472,1469,1552,1677,1547,1568,1492,1425,1427,1517,1366,1457,1531,1356,1343,1339,1610,2111
La Guajira,610,557,490,461,467,568,584,584,540,549,514,596,661,635,793,870,1062,1409
Magdalena,1190,1012,1101,1307,1180,1240,1136,1242,1242,1297,1197,1203,1232,1212,1392,1449,1945,2449
Meta,1524,1362,1445,1414,1372,1313,1273,1359,1292,1230,1181,1279,1220,1087,1095,1076,1308,1699
Nariño,1097,853,1211,1289,1225,1289,1352,1218,1110,1094,1078,1131,1109,1085,1305,1204,1369,1637
Norte de Santander,1982,1903,1905,1778,1736,1780,1672,1626,1650,1647,1482,1422,1552,1552,1651,1732,2206,2487
Quindío,838,863,796,835,786,804,750,717,726,668,650,651,653,572,574,519,579,718
Risaralda,1693,1694,1547,1513,1526,1399,1263,1160,1129,1104,999,1007,1049,960,924,872,968,1226
Santander,2269,2243,2223,2152,2211,2043,2051,1809,1868,1860,1868,1885,1792,1728,1839,1883,2286,3449
Sucre,610,531,544,572,544,670,592,554,689,736,699,722,773,830,880,860,1008,1282
Tolima,1685,1867,1852,1870,1791,1754,1722,1717,1709,1603,1558,1570,1577,1405,1450,1412,1515,2036
Valle del Cauca,6769,6160,5999,6006,5635,5710,5688,5763,5394,5313,4719,4952,4778,4350,4679,4724,5181,6570
Arauca,606,471,475,526,573,521,442,397,407,426,445,385,342,315,396,443,422,517
Casanare,457,323,323,356,299,344,336,361,355,361,398,349,408,376,376,423,457,774
Putumayo,381,364,337,416,311,314,343,383,371,366,379,309,323,428,359,344,415,561
"Archipelago de San Andrés, Providencia y Santa Catalina",58,56,47,50,32,45,63,59,51,49,45,48,49,55,55,62,76,92
Amazonas,57,56,56,83,85,84,71,64,76,92,84,99,70,65,58,91,153,157
Guainía,24,27,30,41,21,23,32,24,33,30,37,28,43,36,46,47,58,46
Guaviare,163,172,164,136,128,147,137,85,113,124,96,85,97,92,94,105,90,126
Vaupés,18,17,25,36,25,46,33,42,38,44,39,56,53,37,51,51,61,55
Vichada,39,20,42,49,37,34,27,28,28,33,38,42,37,43,46,41,58,60
