Department,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antioquia,9766.121560336045,8870.336714838337,8970.838470883398,8885.13701703097,8848.574574248574,9752.840582121886,9278.892594953146,8625.855220628153,8304.996329285099,7957.151777276675,7403.779974702251,8000.800829189524,7755.070195693124,7669.917578633504,7972.238321652341,7843.781400756192,9455.486570464382,12302.54991482181
Atlántico,3803.464589539364,3459.859366024341,3410.0249278480396,3382.856557821006,3258.719085314004,3418.7514760150852,3328.8030637740258,3172.9643050144423,3210.291684615541,3256.3547505598153,3081.3289387496484,3396.27936107146,3206.6672545265733,3219.244327531657,3323.4503556079135,3367.4287935221987,4433.829252001601,5660.933924924518
Bogotá,11061.39439837468,10255.331714224174,9904.84833002582,9994.14498282897,9819.894915563234,9871.210652318316,9838.979325676339,9564.470742716898,9233.475157967847,8656.37753339978,8327.950705727964,8738.88297637337,8296.152305141553,8111.046724458975,7896.564346631813,8127.015731873923,9515.38068513092,12986.26476209239
Bolívar,2882.5990171948397,2691.5839297113043,2733.0225282635,2773.6102816931393,2620.6595635364392,2915.572317399762,2825.319979827928,2653.098101113912,2655.953867540636,2857.3251718979836,2570.1190576480235,2834.31273622121,2720.7353771291787,2764.7813650715098,2963.028911774846,2909.0937844486584,4031.429643694405,4552.387657866944
Boyacá,1589.1898082787382,1422.8390934741528,1407.5378392684588,1378.590224922135,1338.2704865873634,1393.7089756238563,1370.795904978943,1319.2770246964035,1266.6255415629712,1249.3248885495748,1116.529253648349,1207.6734082859216,1161.597411171482,1098.1883935381693,1124.9385574115843,1099.5253330770977,1469.5208972493333,1971.652604538305
Caldas,1848.8998465392679,1769.4252726941145,1674.9874790898775,1591.498927996274,1530.4496846249394,1502.372141593558,1455.150940524829,1382.6754640312133,1330.1828080805808,1295.1796843808556,1236.5646659294237,1279.6265390039966,1212.1753728146173,1158.4333467660415,1186.919318272185,1149.7800852668317,1413.647572025872,1826.712724221832
Caquetá,645.3224980984977,615.066673480701,647.173191201078,624.3054436075689,556.0512552316015,590.9604370700415,607.2533584971793,567.1037200017037,563.7609671294224,598.9052238858319,523.3802345010971,575.6261935224726,568.2554475652954,533.3205311512249,555.5122791070305,570.4953758163318,806.0180741068773,860.6432538729098
Cauca,2047.6671484963836,1913.3448627449243,1938.3823544743407,1990.28783923354,1836.8975708805085,2067.9501707542117,1965.3944908839771,1861.496884856707,1840.5562483280341,1975.9324746584734,1776.2665667516342,1966.6162309293272,1891.4258271276328,1855.283219202647,1993.255825960389,1971.9991930976742,2510.220902280389,2988.52495837381
Cesar,1463.5392829312102,1361.5421420518562,1338.151096020548,1390.1488433661032,1331.601622792319,1513.6615126912343,1442.1924706717202,1363.2520836191197,1349.2647981801776,1488.5044229782134,1327.6312809937485,1504.6645981495246,1465.944696233582,1475.6059317248696,1664.7249418122904,1645.3725000826382,2174.0817060727813,2680.579393977966
Córdoba,2543.305103906157,2355.495778942533,2401.2705782687176,2463.244404737215,2310.3507435994306,2635.2722523106904,2560.1239081833046,2365.418424787312,2327.7417303310544,2577.9697476955166,2286.851001188377,2508.817475647473,2422.120775130189,2382.4139723788167,2564.6373051675773,2472.8191693551785,3388.4210089541593,3889.8103007976633
Cundinamarca,3073.469078081491,2850.312574407331,2827.348798672245,2840.453877873295,2760.6978565082673,2906.0816684230567,2968.7391164790793,2919.979017305864,2886.077629887606,2895.9413550380227,2793.1547704194973,3101.9830458856786,3104.7896699507446,3146.056759415355,3281.777996504372,3423.1684806783924,4203.164158032685,5742.749785126881
Chocó,508.707996492973,495.27647534866213,535.7865729705785,562.1872487576447,510.48068261633426,656.4967680322534,607.806744405491,582.2555852897001,595.1213371557059,675.8407867491809,611.7763586684428,674.4936399244428,666.8770683725975,630.4803652022575,735.9948908357538,751.333690459438,1098.9966621425185,1279.4850468671043
Huila,1631.23719550324,1522.209267893407,1569.9189323901712,1642.6120407564833,1520.1602523972958,1676.4547235349837,1562.7442115756685,1481.1817344375604,1476.9633414957273,1551.2220402136347,1388.8275421325484,1574.5442933413876,1531.7254156646834,1469.734061927029,1522.0315921041442,1472.612816910856,1984.3764055856727,2404.636702823814
La Guajira,934.5454970555264,887.6928434548737,936.0952077522379,974.2400000508582,920.5358085649275,1119.4299273485396,1063.646522439668,990.3258169247845,1002.150198841965,1178.5839353260142,1029.457301041348,1170.9206231107648,1161.7340186763456,1175.2287525889055,1446.7927264598543,1474.1013832447366,2053.2371033233953,2415.5270934645764
Magdalena,1806.2390888621376,1646.0834343162494,1716.8702288208071,1789.7977230774286,1657.7765370882526,1891.571948697227,1802.269634600198,1742.3400876057558,1790.1453994924946,1925.3752088574574,1749.113491083583,1863.4707108371297,1797.8160627771597,1782.759639912691,2008.3916349786423,1952.7691224069752,2648.1534139601813,3382.7498633612686
Meta,1458.0798200382728,1292.708259955929,1368.337124585192,1377.1432613166517,1346.3723708359162,1367.7748930916757,1445.3586230135445,1391.2119312691214,1357.859107733574,1380.895450541495,1286.1176077827918,1413.8714948895076,1361.2350994489836,1246.348924652184,1318.8231235881417,1287.2079253993513,1600.6847806623146,2054.1098380423696
Nariño,2294.720441599087,2100.0145237940237,2141.5675367404046,2202.9915399812485,2061.7262861880554,2316.930624113453,2216.591559689395,2074.5782433641502,2049.5654645758414,2188.0078676580347,1949.6663653938283,2139.6213599399275,2045.2969533723488,1996.1831693426702,2129.1975398707064,2030.6912524151178,2767.6142874476113,3295.01330591428
Norte de Santander,2184.2212503295978,2080.8272209418824,2154.8961833710414,2074.0426382512146,2025.11000617848,2203.8168870104014,2105.252770362125,1966.6376675546044,1974.6907208335224,2035.1782494138022,1854.6165304563751,1940.934049053852,1923.1047806943168,1914.6168436519383,2102.2950875269585,2133.666000476038,2952.616692308351,3354.3923386025663
Quindío,913.7822354351466,917.7413920701729,853.165658060759,881.9279656608393,810.1655401018711,846.707558338786,807.0021496018671,792.9149232545444,747.3362965701563,720.5569023428005,700.2842233193707,726.6350152064745,735.3456849480358,658.3975544010534,667.2659394729245,635.557443558567,756.1029521633241,938.7998996958156
Risaralda,1804.5100501448903,1707.514239052201,1591.0586797034778,1613.7264262957776,1552.2584362262248,1521.548033195089,1458.6639736767818,1335.6748643009348,1319.0329591094699,1250.7655092140865,1185.609864459144,1256.4926685200612,1201.6618012952274,1127.7095028298074,1135.6472018714087,1113.575418530075,1321.1154171322205,1667.6447009920878
Santander,2971.5823022383443,2732.471979214001,2779.384884607391,2754.7797722815376,2710.0378631003255,2794.5379165449594,2754.379164787128,2578.7134180382895,2540.9449305994103,2623.237283245531,2451.1790057986263,2623.7373401824575,2478.5025089576434,2386.0122541467026,2490.9594442305606,2480.385349104788,3241.6480005676376,4282.326713303623
Sucre,1238.8747451756717,1137.925929268684,1171.1736185973953,1194.9043370569586,1135.8699899451283,1276.79006069008,1230.5430974984358,1151.39860148832,1171.444392959333,1289.20861561286,1117.4791926190474,1274.717290150943,1228.3831503856127,1211.4665296076882,1331.3712468551437,1311.3348647141659,1782.8984596446328,2105.1468533586767
Tolima,2195.2825720579885,2050.1399063030667,2015.9270122137937,2001.2773304175107,1879.8127526675419,1967.9481908793057,1939.4590605746957,1811.3449726364386,1763.8358708897883,1769.6359643565916,1599.2332625319245,1703.2444368895958,1644.488087708828,1554.4474838378535,1582.6473679199123,1541.7050341372935,1932.2052363704502,2475.0322298531373
Valle del Cauca,8142.83182391221,7596.266458003931,7340.695635294361,7205.8601693207365,6693.839563535936,6978.391510716264,6649.202501445588,6518.110597845671,6182.959595313699,6083.455381114767,5547.820248315632,5773.537440803988,5463.5263545248845,5135.077575717516,5290.28461988861,5239.8517983017555,5892.56571961095,7591.97217303774
Arauca,499.3993825988112,420.38305215989953,417.234581585561,451.7831141899356,431.27201049440623,433.2115879910317,431.53178769799007,380.40836693278726,372.894890420259,435.0392607813063,394.2574745490989,370.3868897441239,369.0414654884544,357.80753009175805,398.8507229254651,439.40093007290614,513.6604475381198,634.8469387681841
Casanare,488.67264732747685,422.8386141916428,426.5671318419506,457.37087969641397,450.8087242275221,470.85859658335664,478.6406479946713,463.99156793617504,452.1876369590361,467.26467888243496,443.3521006695375,484.5468985771093,471.3838717740305,458.81476808850897,486.1801265564283,499.8966337475733,639.9717803454741,915.7415903681158
Putumayo,386.21690066490356,356.2514499548552,361.51114984803905,394.80969447810867,359.6968052501991,407.0154316499472,412.4639692106479,397.9951635126378,390.7028434603061,441.94611601977766,407.06147701603805,430.33447509100125,414.79672441783055,494.4219997485098,471.0798032840385,434.78646460279737,603.8492167449884,744.0952725553801
"Archipelago de San Andrés, Providencia y Santa Catalina",103.74962962070637,94.95965670563726,86.61673458326835,87.96986656084192,85.92048803685742,83.9743215059298,81.16465249967898,78.57087913672542,72.1570711760063,72.33819987008853,65.83143737722666,70.04733072702588,68.10809777224522,64.29196706685532,62.60126225203529,61.03883362000033,77.13318047544969,101.97380377759939
Amazonas,73.502866701145,69.47303369079941,71.41463700623297,71.58003661529192,70.53528986371943,85.49775115866014,77.4004633968308,70.45463069766619,71.82167851981534,84.15864157480267,76.34826004589425,105.1336645747468,77.23904556243151,77.3761533001284,91.72747049877557,91.43539883351758,178.87678489745,194.8433040462821
Guainía,33.82880150202596,37.05497425171748,31.77339691091854,38.494803450227124,28.072794705940705,39.89574967725428,39.209401141987925,35.74554495261204,36.15271047662178,44.54241111304392,40.281577945687445,43.481048702816075,46.510790181335544,43.79492170321064,55.615337832016614,50.95875689260834,82.80229317859154,88.46849597302185
Guaviare,166.60472030482634,154.8389189650273,153.85852534308827,138.23063967615604,131.0550483525097,167.9207098287564,138.18640758009147,115.22615346058066,122.92727410784508,130.5724758268036,99.93374472576207,101.75147137295473,103.81108870565292,113.13931133558586,117.79897070022326,132.0032272123035,153.62834904523606,193.34525703506407
Vaupés,26.107233282625693,22.257160771507237,30.719605762983942,26.77957775476948,24.71465044937965,38.885089124473815,33.35560697145909,31.902473190078904,32.07071777911328,38.22415707316456,30.32182500130261,36.983458437847204,35.12339835905805,34.01669306550065,45.725976861139664,44.310616271264365,62.28187131405555,64.7829496591021
Vichada,126.39799485046676,105.60259579793265,118.07400737842632,135.27606198860576,124.01211623414517,149.93394373802658,135.97009050461614,121.19587149687185,126.80770936876412,166.2292970538974,134.84262997545886,160.39496662856322,155.2991597256907,156.32065565399603,189.13141289941294,172.72574060521717,269.89133572853905,290.38049003957417
