Municipality,2015,2016,2017,2018,2019,2020,2021
5001 Medellín,2158,2228,2158,2265,2140,2253,3147
5002 Abejorral,18,26,21,13,11,14,15
5004 Abriaquí,1,2,4,0,0,1,0
5021 Alejandría,3,3,2,4,2,2,2
5030 Amagá,30,29,34,28,21,29,34
5031 Amalfi,37,29,23,23,27,40,44
5034 Andes,61,63,68,63,49,56,72
5036 Angelópolis,11,9,11,6,7,2,9
5038 Angostura,13,11,15,9,9,11,21
5040 Anorí,21,12,22,32,10,24,32
5042 Santa Fé De Antioquia,43,61,35,37,30,25,44
5044 Anzá,5,9,6,7,7,17,9
5045 Apartadó,206,197,217,196,164,197,281
5051 Arboletes,21,23,42,43,33,40,46
5055 Argelia,9,6,9,8,6,6,4
5059 Armenia,3,4,1,2,4,2,3
5079 Barbosa,44,34,45,50,38,37,51
5086 Belmira,7,12,12,8,5,2,7
5088 Bello,252,310,276,264,295,333,477
5091 Betania,10,10,10,14,17,21,11
5093 Betulia,33,21,18,29,31,38,22
5101 Ciudad Bolívar,54,42,54,52,43,61,57
5107 Briceño,29,29,33,14,14,7,5
5113 Buriticá,9,7,8,7,4,6,16
5120 Cáceres,78,31,43,76,66,69,68
5125 Caicedo,13,14,14,12,10,6,8
5129 Caldas,42,56,55,56,60,58,101
5134 Campamento,8,11,14,4,3,15,3
5138 Cañasgordas,12,7,17,15,14,15,20
5142 Caracolí,4,5,10,4,8,2,4
5145 Caramanta,5,5,6,3,1,3,7
5147 Carepa,61,61,76,79,75,123,108
5148 El Carmen De Viboral,33,36,29,28,45,41,57
5150 Carolina,9,5,1,2,2,0,3
5154 Caucasia,203,163,161,265,259,300,296
5172 Chigorodó,93,106,109,137,98,128,162
5190 Cisneros,16,17,15,15,18,16,11
5197 Cocorná,10,20,8,16,9,19,15
5206 Concepción,3,1,4,2,0,3,1
5209 Concordia,21,25,22,18,21,17,22
5212 Copacabana,43,55,44,42,38,41,74
5234 Dabeiba,19,20,24,22,18,33,42
5237 Donmatías,22,16,24,20,14,14,29
5240 Ebéjico,10,11,13,9,8,7,9
5250 El Bagre,131,117,66,138,98,126,130
5264 Entrerríos,14,11,8,7,3,6,8
5266 Envigado,82,96,87,85,64,85,131
5282 Fredonia,18,23,22,23,13,18,19
5284 Frontino,22,14,14,16,24,17,29
5306 Giraldo,9,8,11,11,7,5,8
5308 Girardota,40,31,30,30,26,35,49
5310 Gómez Plata,14,11,8,12,6,3,7
5313 Granada,9,6,8,8,9,7,11
5315 Guadalupe,4,3,2,3,7,3,5
5318 Guarne,35,34,31,26,34,21,52
5321 Guatapé,3,7,3,7,2,6,10
5347 Heliconia,2,6,3,2,6,4,4
5353 Hispania,1,4,5,9,2,4,4
5360 Itagüí,161,153,154,151,151,176,238
5361 Ituango,34,17,32,42,30,30,19
5364 Jardín,21,15,15,33,20,20,27
5368 Jericó,8,10,8,2,7,8,11
5376 La Ceja,50,54,40,45,53,56,69
5380 La Estrella,33,31,32,33,40,36,65
5390 La Pintada,7,14,9,5,7,5,13
5400 La Unión,14,16,14,21,16,19,31
5411 Liborina,2,12,16,5,10,7,11
5425 Maceo,20,8,11,12,15,14,16
5440 Marinilla,44,47,37,36,46,33,57
5467 Montebello,12,10,6,9,3,2,7
5475 Murindó,2,1,3,3,3,4,7
5480 Mutatá,46,66,36,77,65,66,90
5483 Nariño,12,15,6,19,8,12,15
5490 Necoclí,63,66,66,80,66,87,119
5495 Nechí,19,30,27,32,35,31,52
5501 Olaya,1,2,2,0,2,1,0
5541 Peñol,14,29,24,23,19,12,34
5543 Peque,4,6,7,9,6,3,8
5576 Pueblorrico,7,10,9,8,9,3,7
5579 Puerto Berrío,70,92,93,76,76,71,108
5585 Puerto Nare,13,11,7,13,15,11,10
5591 Puerto Triunfo,20,38,35,25,34,26,46
5604 Remedios,42,33,37,38,47,47,48
5607 Retiro,11,12,8,9,12,12,15
5615 Rionegro,100,86,89,83,93,83,136
5628 Sabanalarga,5,3,13,6,9,12,8
5631 Sabaneta,22,26,23,35,25,33,64
5642 Salgar,89,23,26,20,16,22,27
5647 San Andrés De Cuerquía,15,16,10,15,10,12,8
5649 San Carlos,9,13,6,8,9,11,18
5652 San Francisco,9,6,10,5,9,12,13
5656 San Jerónimo,16,16,21,17,11,9,12
5658 San José De La Montaña,3,6,6,3,2,3,1
5659 San Juan De Urabá,22,26,26,24,26,27,33
5660 San Luis,15,15,17,23,11,13,32
5664 San Pedro De Los Milagros,38,35,38,37,36,27,42
5665 San Pedro De Urabá,27,32,31,38,44,43,52
5667 San Rafael,9,13,8,9,6,13,13
5670 San Roque,27,16,13,19,23,20,28
5674 San Vicente Ferrer,11,10,22,10,14,19,11
5679 Santa Bárbara,37,31,23,13,18,17,21
5686 Santa Rosa De Osos,38,38,36,41,62,30,55
5690 Santo Domingo,9,3,3,5,5,5,6
5697 El Santuario,31,25,24,41,37,44,59
5736 Segovia,76,73,70,76,97,92,102
5756 Sonsón,36,28,32,34,28,32,50
5761 Sopetrán,19,30,21,10,21,19,20
5789 Támesis,8,15,14,7,10,7,15
5790 Tarazá,114,108,89,220,94,101,132
5792 Tarso,7,3,10,6,3,2,4
5809 Titiribí,7,7,8,8,11,4,8
5819 Toledo,9,9,12,8,11,1,13
5837 Turbo,250,297,287,302,249,273,492
5842 Uramita,10,7,2,3,6,6,14
5847 Urrao,32,38,31,35,32,56,55
5854 Valdivia,24,59,54,53,35,40,38
5856 Valparaíso,4,9,3,3,5,10,1
5858 Vegachí,16,12,31,21,24,23,34
5861 Venecia,9,17,15,15,14,12,25
5873 Vigía Del Fuerte,1,2,4,1,4,5,2
5885 Yalí,7,5,8,6,5,4,15
5887 Yarumal,91,66,74,97,55,63,77
5890 Yolombó,18,14,24,19,21,30,38
5893 Yondó,32,15,19,17,17,18,35
5895 Zaragoza,55,46,31,54,65,88,54
8001 Barranquilla,1870,1708,1714,1793,1716,2328,2959
8078 Baranoa,33,48,49,59,45,68,88
8137 Campo De La Cruz,9,11,17,17,15,23,26
8141 Candelaria,12,11,17,6,7,16,12
8296 Galapa,32,34,37,29,33,54,54
8372 Juan De Acosta,2,9,8,12,15,13,24
8421 Luruaco,22,20,15,30,16,27,42
8433 Malambo,78,93,112,101,90,153,174
8436 Manatí,13,9,8,10,13,8,17
8520 Palmar De Varela,13,19,13,17,23,15,30
8549 Piojó,2,2,3,0,2,2,2
8558 Polonuevo,8,11,9,11,11,20,24
8560 Ponedera,8,14,17,19,18,16,20
8573 Puerto Colombia,19,25,22,35,34,46,71
8606 Repelón,14,21,21,9,14,21,22
8634 Sabanagrande,25,26,29,17,23,29,36
8638 Sabanalarga,64,66,59,96,91,118,164
8675 Santa Lucía,3,5,1,2,2,7,7
8685 Santo Tomás,16,15,17,13,15,25,32
8758 Soledad,338,418,491,446,470,722,885
8770 Suan,3,5,5,8,14,14,7
8832 Tubará,1,3,2,5,8,13,10
8849 Usiacurí,4,2,5,1,4,4,5
"11001 Bogotá, D.C.",6034,5898,5333,5484,5509,6891,9198
13001 Cartagena De Indias,1234,1121,1358,1299,1206,1703,1925
