Municipality,2015,2016,2017,2018,2019,2020,2021
5001 Medellín,2819,2749,2717,2776,2740,3157,4203
5002 Abejorral,34,32,31,32,31,40,47
5004 Abriaquí,0,0,0,0,0,3,6
5021 Alejandría,6,6,5,5,4,7,8
5030 Amagá,40,40,43,39,39,45,57
5031 Amalfi,40,37,36,39,38,49,60
5034 Andes,70,67,73,69,68,86,103
5036 Angelópolis,8,10,10,8,8,9,11
5038 Angostura,20,19,19,21,19,26,29
5040 Anorí,29,26,26,34,29,41,44
5042 Santa Fé De Antioquia,40,47,33,36,36,42,52
5044 Anzá,10,10,9,11,10,16,17
5045 Apartadó,224,202,219,200,190,241,310
5051 Arboletes,46,43,43,50,45,67,74
5055 Argelia,12,11,12,12,10,14,18
5059 Armenia,7,7,7,7,7,8,8
5079 Barbosa,69,68,63,66,66,80,103
5086 Belmira,7,8,9,7,7,11,14
5088 Bello,599,583,579,582,599,706,935
5091 Betania,21,19,19,20,21,27,26
5093 Betulia,33,27,27,28,31,35,39
5101 Ciudad Bolívar,50,45,52,49,46,55,61
5107 Briceño,16,19,25,14,14,18,20
5113 Buriticá,16,15,14,15,15,23,25
5120 Cáceres,64,44,44,66,57,69,75
5125 Caicedo,14,12,12,15,13,19,21
5129 Caldas,97,95,95,91,94,113,150
5134 Campamento,17,17,15,17,16,21,23
5138 Cañasgordas,22,23,22,24,23,31,36
5142 Caracolí,7,6,8,6,6,7,8
5145 Caramanta,6,6,6,6,6,8,9
5147 Carepa,71,67,69,75,71,117,109
5148 El Carmen De Viboral,69,67,66,67,67,82,108
5150 Carolina,6,4,0,1,0,7,8
5154 Caucasia,152,143,170,219,218,257,281
5172 Chigorodó,104,109,97,142,97,126,167
5190 Cisneros,18,19,13,14,19,17,19
5197 Cocorná,23,21,21,22,21,28,35
5206 Concepción,6,6,6,6,6,7,9
5209 Concordia,36,35,32,35,35,47,55
5212 Copacabana,92,86,86,86,89,104,141
5234 Dabeiba,33,33,34,40,33,48,62
5237 Donmatías,23,22,23,22,21,28,34
5240 Ebéjico,19,18,18,18,18,22,27
5250 El Bagre,90,93,76,105,85,117,132
5264 Entrerríos,17,16,14,14,14,17,20
5266 Envigado,270,260,258,255,261,303,414
5282 Fredonia,36,33,32,34,33,44,53
5284 Frontino,29,28,27,30,30,42,46
5306 Giraldo,7,6,7,7,7,8,10
5308 Girardota,60,61,59,59,59,72,96
5310 Gómez Plata,17,13,13,14,13,18,21
5313 Granada,17,13,11,12,11,17,19
5315 Guadalupe,8,8,8,8,8,14,16
5318 Guarne,65,65,63,64,66,78,101
5321 Guatapé,8,8,8,8,8,10,15
5347 Heliconia,8,7,7,7,7,9,11
5353 Hispania,8,7,6,9,7,10,11
5360 Itagüí,324,315,311,310,316,372,499
5361 Ituango,61,56,57,63,60,81,89
5364 Jardín,20,20,21,23,20,26,29
5368 Jericó,20,19,19,19,18,21,26
5376 La Ceja,74,72,70,69,72,84,112
5380 La Estrella,83,80,79,81,83,97,129
5390 La Pintada,13,20,16,18,18,15,21
5400 La Unión,27,27,25,26,26,34,42
5411 Liborina,17,16,19,16,14,19,23
5425 Maceo,15,11,11,10,18,14,19
5440 Marinilla,71,69,68,69,71,87,113
5467 Montebello,10,9,9,9,9,12,16
5475 Murindó,5,5,5,5,5,11,12
5480 Mutatá,32,51,39,65,68,59,74
5483 Nariño,19,17,16,17,14,22,24
5490 Necoclí,65,63,64,71,67,99,112
5495 Nechí,39,37,38,43,43,62,66
5501 Olaya,1,0,2,0,0,4,5
5541 Peñol,26,26,24,23,23,29,37
5543 Peque,12,11,11,13,11,18,20
5576 Pueblorrico,13,12,12,13,12,18,20
5579 Puerto Berrío,74,84,95,90,87,89,118
5585 Puerto Nare,22,20,19,21,19,24,32
5591 Puerto Triunfo,28,27,30,33,38,34,54
5604 Remedios,41,39,37,43,48,52,62
5607 Retiro,27,27,26,26,27,34,44
5615 Rionegro,156,152,148,150,152,176,243
5628 Sabanalarga,14,14,19,16,16,21,23
5631 Sabaneta,96,94,95,92,97,111,153
5642 Salgar,76,28,30,29,27,40,47
5647 San Andrés De Cuerquía,11,13,8,13,9,14,17
5649 San Carlos,23,21,21,22,20,25,33
5652 San Francisco,7,7,7,7,7,10,12
5656 San Jerónimo,21,20,20,22,21,26,33
5658 San José De La Montaña,5,5,7,5,4,6,7
5659 San Juan De Urabá,30,30,30,34,34,45,51
5660 San Luis,18,19,17,19,18,20,24
5664 San Pedro De Los Milagros,37,37,32,33,33,36,45
5665 San Pedro De Urabá,50,48,48,54,53,72,78
5667 San Rafael,24,22,21,22,22,27,33
5670 San Roque,30,30,30,31,30,41,48
5674 San Vicente Ferrer,30,27,27,28,28,35,46
5679 Santa Bárbara,37,35,32,33,33,42,53
5686 Santa Rosa De Osos,49,46,46,46,61,62,77
5690 Santo Domingo,20,20,19,20,19,25,30
5697 El Santuario,41,40,40,39,40,48,60
5736 Segovia,75,85,70,78,93,98,127
5756 Sonsón,54,52,51,55,51,67,78
5761 Sopetrán,21,26,21,21,21,25,32
5789 Támesis,25,25,23,24,24,30,39
5790 Tarazá,84,86,66,150,81,83,109
5792 Tarso,8,8,8,8,8,12,15
5809 Titiribí,17,13,13,14,13,18,22
5819 Toledo,7,10,9,7,7,12,13
5837 Turbo,252,266,263,264,243,290,400
5842 Uramita,9,8,9,9,9,15,17
5847 Urrao,43,49,41,44,40,58,68
5854 Valdivia,23,46,37,38,31,36,48
5856 Valparaíso,8,9,8,7,7,8,12
5858 Vegachí,19,19,27,24,23,25,30
5861 Venecia,18,19,15,20,22,19,32
5873 Vigía Del Fuerte,13,12,12,15,14,19,20
5885 Yalí,11,8,10,12,10,15,18
5887 Yarumal,77,62,67,70,59,78,91
5890 Yolombó,36,32,32,33,35,45,53
5893 Yondó,35,26,26,26,27,37,43
5895 Zaragoza,51,37,39,45,57,65,58
8001 Barranquilla,1871,1732,1738,1775,1784,2382,3101
8078 Baranoa,80,78,78,83,85,110,134
8137 Campo De La Cruz,39,37,37,41,42,58,63
8141 Candelaria,23,23,23,24,24,34,38
8296 Galapa,66,65,63,67,71,87,113
8372 Juan De Acosta,28,28,27,28,29,41,47
8421 Luruaco,43,43,40,48,46,63,71
8433 Malambo,158,153,152,159,164,206,253
8436 Manatí,27,27,26,27,27,39,46
8520 Palmar De Varela,39,38,38,40,40,50,64
8549 Piojó,8,8,8,9,8,14,17
8558 Polonuevo,24,23,23,24,24,31,38
8560 Ponedera,36,34,33,37,36,48,56
8573 Puerto Colombia,56,52,51,53,55,69,90
8606 Repelón,40,39,39,41,40,60,65
8634 Sabanagrande,42,40,40,43,43,56,68
8638 Sabanalarga,124,119,118,125,127,167,201
8675 Santa Lucía,22,22,21,23,23,32,36
8685 Santo Tomás,39,36,36,38,38,48,59
8758 Soledad,667,647,647,661,693,869,1103
8770 Suan,19,19,18,19,22,24,26
8832 Tubará,25,24,23,25,25,30,38
8849 Usiacurí,18,17,17,18,17,23,26
"11001 Bogotá, D.C.",8804,8393,8191,8046,8240,9604,13039
13001 Cartagena De Indias,1308,1263,1320,1373,1358,1825,2039
13006 Achí,39,39,39,43,40,61,65
13030 Altos Del Rosario,18,19,19,20,19,28,30
13042 Arenal,13,14,13,14,14,25,23
13052 Arjona,105,103,100,106,106,140,161
13062 Arroyohondo,18,16,15,18,18,21,22
13074 Barranco De Loba,24,24,24,25,25,36,38
13140 Calamar,38,37,36,41,37,54,62
13160 Cantagallo,14,13,13,13,14,18,20
13188 Cicuco,21,21,20,23,21,30,34
13212 Córdoba,26,27,26,28,28,43,46
13222 Clemencia,23,23,23,24,25,35,38
13244 El Carmen De Bolívar,123,117,116,125,117,168,184
13248 El Guamo,17,15,15,18,15,22,25
13268 El Peñón,14,12,11,13,12,20,21
13300 Hatillo De Loba,23,23,22,24,23,31,31
13430 Magangué,204,198,193,208,205,278,320
13433 Mahates,43,42,41,47,44,62,67
13440 Margarita,20,19,19,21,20,27,28
13442 María La Baja,73,72,69,77,78,106,118
13458 Montecristo,29,27,28,32,31,46,49
13468 Mompós,64,63,60,65,65,87,103
13473 Morales,36,36,35,39,38,54,60
13490 Norosí,4,5,5,11,11,17,20
13549 Pinillos,41,39,39,44,42,59,64
13580 Regidor,7,8,7,8,8,13,14
13600 Río Viejo,19,18,19,20,18,26,27
13620 San Cristóbal,12,12,12,11,11,17,20
13647 San Estanislao,27,27,27,27,27,37,45
13650 San Fernando,21,20,20,22,21,28,32
13654 San Jacinto,41,40,39,42,39,58,62
13655 San Jacinto Del Cauca,18,18,17,20,19,25,29
13657 San Juan Nepomuceno,65,60,62,66,64,86,96
13667 San Martín De Loba,27,25,23,25,22,32,34
13670 San Pablo,42,49,43,42,45,59,64
13673 Santa Catalina,23,22,21,24,23,31,37
13683 Santa Rosa,35,33,34,34,35,46,52
13688 Santa Rosa Del Sur,49,47,47,52,50,66,79
13744 Simití,27,27,27,31,31,43,50
13760 Soplaviento,17,16,16,16,16,20,23
13780 Talaigua Nuevo,21,20,19,20,20,25,28
13810 Tiquisio,30,27,28,32,32,45,46
13836 Turbaco,136,131,129,137,141,176,218
13838 Turbaná,24,24,23,25,25,32,38
13873 Villanueva,38,37,37,38,38,55,61
13894 Zambrano,23,22,22,22,22,29,32
15001 Tunja,214,207,200,195,197,226,306
15022 Almeida,1,0,0,0,0,1,2
15047 Aquitania,23,23,23,23,23,26,35
15051 Arcabuco,6,6,6,5,5,8,12
15087 Belén,9,11,8,6,7,11,15
15090 Berbeo,0,0,0,0,0,0,0
15092 Betéitiva,0,0,0,0,0,0,0
15097 Boavita,8,7,8,6,6,8,9
15104 Boyacá,8,8,6,7,6,7,10
15106 Briceño,0,0,0,0,0,5,5
15109 Buenavista,7,7,7,7,6,8,10
15114 Busbanzá,0,0,0,0,0,0,0
15131 Caldas,4,3,2,3,3,6,6
15135 Campohermoso,5,4,2,3,2,6,7
15162 Cerinza,2,1,0,1,0,5,6
15172 Chinavita,4,2,1,2,1,6,6
15176 Chiquinquirá,85,77,72,79,72,85,108
15180 Chiscas,6,6,6,6,5,8,8
15183 Chita,15,15,14,15,14,19,21
15185 Chitaraque,7,16,11,8,12,13,16
15187 Chivatá,0,0,0,0,0,4,5
15189 Ciénega,6,6,6,6,6,7,8
15204 Cómbita,27,26,26,27,26,33,40
15212 Coper,4,5,2,4,2,5,7
15215 Corrales,0,0,0,0,0,0,3
15218 Covarachía,4,3,3,4,2,5,5
15223 Cubará,16,16,16,16,16,23,23
15224 Cucaita,5,5,5,4,6,6,7
15226 Cuítiva,0,0,0,0,0,0,0
15232 Chíquiza,6,6,6,6,6,9,12
15236 Chivor,3,2,0,1,2,5,5
15238 Duitama,151,146,143,139,137,160,213
15244 El Cocuy,7,7,6,6,5,7,8
15248 El Espino,0,0,0,1,0,3,5
15272 Firavitoba,6,6,6,6,6,8,10
15276 Floresta,3,3,3,3,1,5,5
15293 Gachantivá,4,3,3,3,2,5,6
15296 Gámeza,7,5,5,6,6,8,10
15299 Garagoa,23,21,20,20,20,25,30
15317 Guacamayas,0,0,0,0,0,0,0
15322 Guateque,16,14,12,12,12,17,18
15325 Guayatá,5,3,2,1,1,6,7
15332 Güicán De La Sierra,5,5,7,5,5,6,7
15362 Iza,0,0,0,0,0,0,0
15367 Jenesano,9,11,9,9,8,12,17
15368 Jericó,7,7,5,7,6,8,8
15377 Labranzagrande,7,6,6,6,5,8,9
15380 La Capilla,1,1,1,1,0,2,4
15401 La Victoria,0,0,0,0,0,0,0
15403 La Uvita,5,4,4,3,1,4,5
15407 Villa De Leyva,19,19,19,18,19,22,27
15425 Macanal,6,5,5,5,5,6,8
15442 Maripí,9,9,8,11,8,17,18
15455 Miraflores,12,12,11,11,11,11,18
15464 Mongua,6,5,6,7,5,9,11
15466 Monguí,4,3,5,1,2,6,8
15469 Moniquirá,35,32,31,28,28,38,44
15476 Motavita,7,7,8,7,7,12,14
15480 Muzo,15,15,14,15,12,19,22
15491 Nobsa,19,17,18,17,17,18,25
15494 Nuevo Colón,6,6,6,7,6,10,13
15500 Oicatá,0,0,0,0,0,0,2
15507 Otanche,13,13,11,14,13,17,20
15511 Pachavita,1,1,1,1,1,3,5
15514 Páez,4,3,1,2,2,6,7
15516 Paipa,40,40,38,39,38,47,59
15518 Pajarito,0,0,0,0,0,0,2
15522 Panqueba,0,0,0,0,0,0,1
15531 Pauna,12,11,10,13,12,16,18
15533 Paya,4,3,4,4,3,5,6
15537 Paz De Río,5,3,5,2,1,4,7
15542 Pesca,8,8,8,8,7,11,14
15550 Pisba,0,0,0,0,0,1,3
15572 Puerto Boyacá,91,75,75,75,80,91,109
15580 Quípama,8,7,7,8,8,15,16
15599 Ramiriquí,14,16,13,14,13,17,20
15600 Ráquira,8,8,8,8,8,14,17
15621 Rondón,0,0,0,0,0,1,3
15632 Saboyá,20,20,20,20,21,26,29
15638 Sáchica,5,5,5,5,5,7,9
15646 Samacá,28,28,24,27,25,30,43
15660 San Eduardo,0,0,0,0,0,0,0
15664 San José De Pare,7,7,7,7,7,8,12
15667 San Luis De Gaceno,7,7,6,7,6,7,10
15673 San Mateo,3,3,2,3,1,4,6
15676 San Miguel De Sema,1,0,5,1,0,3,5
15681 San Pablo De Borbur,10,9,10,10,10,17,19
15686 Santana,13,16,10,12,16,17,18
15690 Santa María,6,4,2,3,1,5,7
15693 Santa Rosa De Viterbo,17,17,16,17,16,19,23
15696 Santa Sofía,4,0,0,0,0,3,5
15720 Sativanorte,1,1,0,0,4,4,5
15723 Sativasur,0,0,0,0,0,0,2
15740 Siachoque,8,8,9,8,8,15,16
15753 Soatá,11,10,10,10,8,11,17
15755 Socotá,14,10,9,10,9,17,19
