Municipality,2015,2016,2017,2018,2019,2020,2021
5001 Medellín,2790.0219899958456,2719.2065117349484,2692.928494528283,2755.475426760598,2713.205284525186,3131.8125901704443,4174.805916077749
5002 Abejorral,30.354748990444424,28.987587191563197,26.910722650477133,28.225478152501946,26.21286944363109,37.42230625312959,44.8852174523567
5004 Abriaquí,0.19056357649429104,0.2053127247206826,0.21613761510428012,0.19667303110194495,0.18116698853508784,0.6707077278427676,1.2527318862547836
5021 Alejandría,1.6858306603115094,0.8385962653465431,0.89945033598582,1.4303940428447022,0.8511431538250414,1.7870375904208449,5.021888202217936
5030 Amagá,35.918738913932906,35.54022223328237,39.448579039751685,36.36422258153229,35.06059971517133,43.05530842017517,55.68276221482038
5031 Amalfi,37.88397449023186,34.19180964271558,32.24958013003758,36.03854372919442,34.812571407608814,47.30272835357214,54.129827094766334
5034 Andes,64.67569411678573,63.32874697542754,68.4655533058405,65.05746515548273,63.503030907306965,83.56540018026463,97.97809618785769
5036 Angelópolis,1.930842058206995,6.586641219021276,8.53230963836615,1.6664452768228875,1.7453267242275081,3.4776835397835217,9.094421478958646
5038 Angostura,13.489558400531045,13.561663305770871,13.431914984257872,13.312630721938126,13.142481866609371,16.624219034208128,22.79079543206781
5040 Anorí,21.180844833688234,21.076216952350485,20.96800044781825,31.44600058241755,24.806159120298197,37.72606276191579,43.509167433747535
5042 Santa Fé De Antioquia,36.09643769182504,45.55352617190917,30.334233173407807,31.122602107011154,29.968752060025537,41.022208741345374,51.72676413576094
5044 Anzá,4.08737664251799,4.082590042462261,4.580840078240886,6.7465084110093825,4.886156094427995,11.071436633426107,12.038929787526113
5045 Apartadó,218.26742408199573,197.03100434683117,212.70239283588856,193.9792060553036,187.5084589025668,234.99384904319177,305.3444123775346
5051 Arboletes,42.41327687606821,42.55652962091697,41.83187724536642,41.85438159372115,41.10574097608405,62.6817294303566,70.11245235457258
5055 Argelia,8.07502141123023,4.614814986136578,5.765760350992159,8.325545884649298,5.769319991291155,11.664598057160408,13.255520003732586
5059 Armenia,3.5328724765088824,2.2269467577001163,2.1559002895307984,2.0717781316032258,2.087657993762161,4.115594184226581,7.6344946514363645
5079 Barbosa,64.21147020204191,60.921387809470176,59.59131039349114,62.86654312003752,62.967932323779955,76.64934011552475,101.23299945710562
5086 Belmira,3.1637411913730875,3.5141323400799247,6.495761391613081,3.4328990731539086,3.26194170655131,7.184252374509715,8.510171693103976
5088 Bello,594.8560533343956,576.8641407893095,574.1758571777058,574.3280301487317,596.3162684800976,698.5229987637489,926.6747345864746
5091 Betania,14.393955223870666,13.4158708348923,13.532097259977347,14.622851009412674,14.62312961260115,22.349392303338867,21.23164818519654
5093 Betulia,27.061089087363182,21.166311945685266,19.876016261562878,21.537648579699926,29.92179847797496,33.24647679784873,35.82814643426248
5101 Ciudad Bolívar,48.06480311074336,40.91122360697059,48.9512016645961,45.775196464699164,46.141383933496236,52.31644643517345,58.1226677301497
5107 Briceño,12.40795290767428,12.693409520060069,15.971504121510328,11.510458650720194,11.482418433076617,13.31941424673924,13.87917913310003
5113 Buriticá,11.269211216683937,11.274403671949331,11.155834440511516,11.21625056998878,11.429820283067121,13.347095973075511,16.68362564715482
5120 Cáceres,59.228021472474765,41.79922008082469,41.293713889590556,60.19174988996201,53.11024149386333,65.39834097280578,70.86432498687648
5125 Caicedo,11.769447930753454,11.772669233930433,11.62726616262223,11.672478318564568,11.34671201429521,13.346033483361776,15.25511048434659
5129 Caldas,95.61435259363338,90.27530100012319,87.53301227116746,89.7274435867314,92.05754947852567,110.22903278519148,145.47150044072853
5134 Campamento,12.658503705618697,12.413317453028085,12.877431252249027,12.682669889529237,12.499682073034235,15.38103682712095,18.334412899700144
