dep_name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antioquia,450,412,431,414,437,503,470,423,398,362,342,348,357,347,364,341,369,509
Atlántico,355,326,330,305,292,304,280,234,282,299,308,327,329,343,346,329,463,578
Bogotá,338,346,331,331,323,327,330,321,308,300,308,322,323,299,312,312,395,531
Bolívar,191,217,218,198,202,214,198,206,205,201,230,246,247,281,279,276,361,407
Boyacá,382,378,371,360,362,345,368,342,343,333,323,325,342,304,307,286,336,464
Caldas,446,449,439,416,397,378,376,367,342,339,325,315,305,297,313,283,283,416
Caquetá,434,424,433,413,367,343,359,347,363,380,351,354,349,353,368,353,433,473
Cauca,288,282,296,289,267,270,262,253,250,232,240,250,246,239,267,283,295,354
Cesar,290,274,236,269,276,273,253,263,254,280,261,281,271,276,322,296,362,481
Córdoba,180,165,164,184,193,245,235,238,213,217,205,213,212,231,250,253,322,356
Cundinamarca,351,333,342,330,303,315,337,304,306,324,300,311,308,298,275,261,321,472
Chocó,124,111,122,130,126,134,114,141,140,122,128,125,130,131,132,145,178,225
Huila,411,409,432,466,429,435,413,395,395,420,378,402,422,373,368,367,436,571
La Guajira,210,189,164,152,151,180,182,180,164,164,152,174,190,180,219,233,277,363
Magdalena,277,233,251,296,265,276,251,272,271,282,260,260,266,260,295,301,404,508
Meta,516,453,475,460,442,419,403,428,405,384,368,397,378,336,337,332,401,522
Nariño,205,160,229,245,235,250,265,241,222,222,221,235,233,230,279,261,295,356
Norte de Santander,425,408,408,381,372,382,360,352,359,361,327,316,346,345,359,362,457,510
Quindío,532,557,522,557,534,558,532,519,537,506,503,513,523,463,465,419,471,587
Risaralda,602,609,562,557,570,530,486,453,449,446,410,420,442,408,395,374,414,528
Santander,359,356,354,343,354,329,332,295,306,307,311,316,303,293,310,313,382,578
Sucre,206,179,183,193,183,225,199,187,232,248,236,244,262,281,296,285,335,426
Tolima,371,417,418,427,414,411,409,414,418,398,394,403,412,373,391,386,418,570
Valle del Cauca,487,445,435,438,413,422,423,432,407,405,363,384,373,342,369,375,410,524
Arauca,644,506,514,573,629,576,492,445,459,483,507,440,390,355,431,454,433,523
Casanare,345,242,241,264,221,253,246,264,259,263,289,253,295,271,269,300,322,544
Putumayo,344,324,296,361,268,268,291,323,311,307,317,259,270,358,299,287,344,466
"Archipelago de San Andrés, Providencia y Santa Catalina",268,265,228,248,163,234,336,322,284,279,261,282,292,331,334,371,467,570
Amazonas,205,199,197,288,291,283,235,209,244,292,263,305,214,196,174,271,448,456
Guainía,163,175,186,244,120,127,170,123,164,146,175,130,196,161,201,205,239,188
Guaviare,500,536,515,431,408,471,441,274,365,401,311,274,312,294,296,327,274,378
Vaupés,139,123,171,232,153,267,183,222,193,216,186,260,241,166,226,222,267,239
Vichada,106,53,108,122,90,80,62,63,62,72,81,89,78,89,94,84,117,120
