dep_name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antioquia,519.0689934961003,473.2896583525502,480.7727863846349,478.92890187696844,480.26857657912643,533.5203429826249,512.0686473417832,480.69504045274704,467.7309326960323,453.0413268697235,426.1003192885434,465.1274804496411,454.4686032452928,451.8874007789291,469.393928043219,459.5319510734961,559.0911105922795,732.0361942477539
Atlántico,505.6610797730527,457.4430306672394,449.0015671089244,443.93902933020934,426.5504679662798,446.6772697806362,434.51072713987537,414.2132735955659,419.4980510524656,426.18318245608015,404.12119289926096,446.29689532796715,421.03558994343024,420.9598351670334,428.35401840059234,421.76152069876116,555.3729091556246,706.760710261438
Bogotá,488.84603389703153,456.367542555413,443.89770535617185,452.1571723627135,449.57428612671174,458.43867343288673,464.79162032652914,460.9168201733395,455.1253799254069,437.2618784771873,431.8167523231004,465.58472587474876,453.43670014164377,453.51873546848344,449.0396015878601,459.70849034019216,545.1641677043322,748.8384367241011
Bolívar,421.4281099630644,392.24959056360865,397.1784049261811,402.326254250686,379.74426646980385,422.35841905629525,409.51648725511507,385.0863370338622,386.3346054158582,416.7391549328067,376.0179591002594,415.9444338408703,399.8481325538337,406.1250920311081,432.704732964912,417.2045252765355,581.2288483507461,656.3149019092598
Boyacá,412.8942188369983,373.7035195122894,372.9254114357395,368.4625685226086,360.8321466497551,379.0422827053763,375.91389421933354,364.7201491286173,353.02172697118954,351.03716029987515,316.2328994992599,344.62437302387156,333.589775947863,317.0436771245123,325.5961359586462,317.4093536338477,424.73497067623754,572.4078704329979
Caldas,583.3258411947447,572.0249659205364,553.1523649258957,537.3592999537932,528.6926969538804,531.0349316652937,526.2157680165644,511.37127571276426,503.0536831614153,500.5480094673407,487.6688917646335,513.9233759647637,494.29247921154104,478.15887714464986,492.6589913289765,476.61156990077865,589.7482190062204,767.5266363532266
Caquetá,396.4880695579879,380.1346969297482,401.5164109539084,388.9515921398075,348.03177173471823,371.73893323188423,384.10975733882435,360.9474404134709,361.31565574599284,386.83858466870925,340.8540343326783,378.22095893906874,376.88298405192705,357.21372462418003,376.9213546278693,387.7647406328462,549.2099689378504,589.2363602798235
Cauca,423.7076021518618,396.5617328541612,402.36489582221566,414.29567696253747,383.9185872874184,434.3781611028108,415.15264647327405,395.69391038931826,394.10057306609696,426.5579057978475,386.74379084823676,431.82007657466653,418.58932889577346,413.53853806984125,446.7139322751233,444.63718079999404,567.1320927506013,680.1181286971279
Cesar,371.4328278318219,344.0125686677161,336.4686261764431,347.7325122133706,331.27402630163795,374.4786597375928,354.8844502756844,333.77471610223546,328.7093949440628,360.76986827711033,320.10330178950386,360.74076562674685,348.5915245640308,347.0645008602867,383.4706177288509,368.06124268759055,481.35145233260573,588.1096684335035
Córdoba,440.5871987280155,406.92983782575783,413.8221133076392,423.74572047413926,396.9801834701788,452.5392546173208,439.58654357027154,406.2957657820448,400.12694926934313,443.5964019949083,393.9333142870104,432.53853077459655,417.61120589333825,410.42667216287094,440.49759045418875,422.90422883648847,579.2688783649605,666.0568493889913
Cundinamarca,456.6514569090525,422.418644514807,417.3223428863886,417.2699101634699,403.2548204874943,421.5424477742449,426.9494493750216,415.7459690407657,406.27918348403324,402.40070873519545,382.31430137405783,417.1036259968198,408.39347733995317,402.98244457703015,403.3354861022935,401.59773157711095,497.4466522804842,672.7912680396075
Chocó,283.9884960776409,271.2280384161772,288.6040301110345,298.01272491379956,266.37985888410896,337.4016451623609,307.82364093324736,290.7584231857602,293.2667768348369,328.95053168472936,294.38061953400916,321.08582174471013,314.39078197261534,294.804792364391,342.5821575919781,351.06201828153445,505.45267044856536,587.9335350489305
Huila,454.7031854158105,423.60908553102945,435.98776839798023,455.49317146554176,421.10807038039314,464.0687926276784,432.3289782013548,409.5549065919327,408.2520826280901,428.6194879664498,383.50980478527885,434.2963268327537,421.6841980333096,403.63850617534644,416.3045740048336,402.9021156463611,536.9139717060366,649.6025780836054
La Guajira,321.708394016131,300.63958967102167,311.7118813052733,319.11186023150475,296.5193001686653,354.52261442530755,331.2983265427902,303.63597994971917,302.7983141998428,351.3354386443779,303.1620468819643,340.91463625475274,333.73992454776345,332.25739338022044,398.5611543535962,393.1982799431427,535.5330669535243,620.6384186038896
Magdalena,420.10954266819635,378.96106106811186,391.3403244576197,404.0937096399865,370.914372461442,419.7138556529878,396.97283207285193,381.4297701059789,389.96928490986323,417.77821208703267,378.4857832898793,402.39014109194164,386.93310823853693,381.8258405087573,425.16757287628184,404.9289156750135,549.6195751857326,700.7749115736259
