mun_name,2015,2016,2017,2018,2019,2020,2021
5001 Medellín,4,4,4,5,4,5,6
5002 Abejorral,4,5,4,3,3,3,3
5004 Abriaquí,2,3,6,0,0,2,0
5021 Alejandría,3,3,2,3,2,2,2
5030 Amagá,4,4,5,4,3,4,5
5031 Amalfi,5,4,3,3,4,5,6
5034 Andes,5,6,6,6,5,5,7
5036 Angelópolis,7,6,7,4,5,2,6
5038 Angostura,4,3,5,3,3,4,6
5040 Anorí,4,2,4,5,2,4,5
5042 Santa Fé De Antioquia,6,8,5,5,4,4,6
5044 Anzá,3,4,3,4,4,8,4
5045 Apartadó,6,5,6,5,4,5,7
5051 Arboletes,2,3,4,4,3,4,5
5055 Argelia,4,3,4,4,3,3,2
5059 Armenia,3,4,1,2,4,2,3
5079 Barbosa,4,3,4,4,3,3,5
5086 Belmira,4,6,6,5,3,2,4
5088 Bello,2,3,3,3,3,3,4
5091 Betania,3,3,4,5,6,7,4
5093 Betulia,7,4,4,6,6,8,5
5101 Ciudad Bolívar,7,6,8,7,6,9,8
5107 Briceño,10,10,11,5,5,3,2
5113 Buriticá,3,3,3,3,2,2,6
5120 Cáceres,7,3,4,7,6,6,6
5125 Caicedo,5,5,5,5,4,3,3
5129 Caldas,3,4,4,4,4,4,6
5134 Campamento,3,4,5,2,1,5,1
5138 Cañasgordas,3,2,4,4,3,4,5
5142 Caracolí,3,4,9,4,7,2,4
5145 Caramanta,4,4,5,3,1,3,7
5147 Carepa,4,4,5,5,5,7,7
5148 El Carmen De Viboral,2,3,2,2,3,3,4
5150 Carolina,10,6,2,3,3,0,4
5154 Caucasia,7,6,5,9,8,10,9
5172 Chigorodó,5,6,6,7,5,6,8
5190 Cisneros,7,7,6,6,8,7,5
5197 Cocorná,2,4,2,4,2,4,4
5206 Concepción,3,1,4,2,0,3,1
5209 Concordia,4,4,4,3,4,3,4
5212 Copacabana,3,4,3,3,3,3,5
5234 Dabeiba,2,3,3,3,2,4,5
5237 Donmatías,4,3,5,4,3,3,6
5240 Ebéjico,4,4,5,4,3,3,4
5250 El Bagre,7,6,4,7,5,6,7
5264 Entrerríos,5,4,3,3,1,2,3
5266 Envigado,2,3,3,3,2,3,4
5282 Fredonia,3,4,4,4,3,4,4
5284 Frontino,3,2,2,3,4,3,4
5306 Giraldo,5,5,6,6,4,3,5
5308 Girardota,4,3,3,3,3,3,5
5310 Gómez Plata,6,5,4,5,3,2,3
5313 Granada,3,2,3,3,3,3,4
5315 Guadalupe,2,2,2,2,4,2,3
5318 Guarne,3,3,3,2,3,2,4
5321 Guatapé,2,4,2,4,1,3,5
5347 Heliconia,2,5,3,2,5,4,4
5353 Hispania,1,3,4,6,2,3,3
5360 Itagüí,3,3,3,3,3,3,5
5361 Ituango,5,3,5,6,4,4,3
5364 Jardín,6,4,4,9,6,6,8
5368 Jericó,3,3,3,1,3,3,4
5376 La Ceja,4,4,3,3,4,4,5
5380 La Estrella,3,2,3,3,3,3,5
5390 La Pintada,3,6,4,3,4,3,6
5400 La Unión,3,3,3,4,3,4,6
5411 Liborina,1,4,6,2,4,3,4
5425 Maceo,8,3,5,5,6,6,7
5440 Marinilla,3,3,3,2,3,2,4
5467 Montebello,7,6,4,6,2,2,5
5475 Murindó,1,1,2,2,2,2,3
5480 Mutatá,8,12,7,13,11,12,16
5483 Nariño,4,5,2,6,3,4,5
5490 Necoclí,4,4,4,5,4,5,7
5495 Nechí,2,3,3,3,4,3,5
5501 Olaya,2,3,3,0,3,2,0
5541 Peñol,3,6,5,4,4,3,6
5543 Peque,2,3,3,4,3,2,3
5576 Pueblorrico,3,4,4,4,4,2,3
5579 Puerto Berrío,6,8,9,7,7,7,10
5585 Puerto Nare,3,3,2,3,4,3,3
5591 Puerto Triunfo,4,7,7,5,7,5,9
5604 Remedios,5,4,4,4,5,5,5
5607 Retiro,3,3,2,2,3,3,3
5615 Rionegro,4,3,3,3,3,3,5
5628 Sabanalarga,2,1,5,2,3,4,3
5631 Sabaneta,2,2,2,3,2,3,5
5642 Salgar,16,5,5,4,4,5,6
5647 San Andrés De Cuerquía,6,7,4,6,4,5,4
5649 San Carlos,2,3,2,2,2,3,4
5652 San Francisco,5,3,5,3,5,6,7
5656 San Jerónimo,4,4,5,4,3,3,3
5658 San José De La Montaña,3,5,5,3,2,3,1
5659 San Juan De Urabá,3,4,4,3,4,4,4
5660 San Luis,4,4,4,5,3,3,8
5664 San Pedro De Los Milagros,6,6,6,6,6,5,7
5665 San Pedro De Urabá,3,3,3,4,4,4,5
5667 San Rafael,2,3,2,3,2,3,3
5670 San Roque,4,3,2,3,4,4,5
5674 San Vicente Ferrer,2,2,4,2,3,4,2
5679 Santa Bárbara,6,5,4,2,3,3,4
5686 Santa Rosa De Osos,4,4,4,4,6,3,5
5690 Santo Domingo,3,1,1,2,2,2,2
5697 El Santuario,3,3,3,4,4,4,6
5736 Segovia,6,6,6,6,8,8,8
5756 Sonsón,4,3,3,4,3,4,5
5761 Sopetrán,5,8,6,3,6,5,6
5789 Támesis,2,4,4,2,3,2,4
5790 Tarazá,11,11,9,21,9,10,13
5792 Tarso,4,2,6,4,2,2,3
5809 Titiribí,3,3,4,4,5,2,4
5819 Toledo,5,5,7,5,7,1,8
5837 Turbo,6,6,6,7,5,6,10
5842 Uramita,4,3,1,2,3,3,6
5847 Urrao,3,4,3,4,4,6,6
5854 Valdivia,5,12,11,11,7,8,8
5856 Valparaíso,3,6,2,2,4,7,1
5858 Vegachí,4,4,8,6,7,7,10
5861 Venecia,4,7,6,6,6,5,10
5873 Vigía Del Fuerte,1,1,1,1,1,2,1
5885 Yalí,3,3,4,3,3,2,7
5887 Yarumal,7,5,6,8,5,5,6
5890 Yolombó,3,2,4,3,4,5,6
5893 Yondó,5,3,3,3,3,3,5
5895 Zaragoza,6,5,4,6,7,9,6
8001 Barranquilla,6,5,6,6,5,7,9
8078 Baranoa,2,3,3,4,3,4,5
8137 Campo De La Cruz,2,2,3,3,2,3,4
8141 Candelaria,3,2,4,2,2,3,3
8296 Galapa,2,2,2,2,2,3,3
8372 Juan De Acosta,1,2,2,2,3,2,4
8421 Luruaco,3,3,2,4,2,3,5
8433 Malambo,2,3,3,3,2,4,4
8436 Manatí,2,2,2,2,2,2,3
8520 Palmar De Varela,2,3,2,2,3,2,4
8549 Piojó,2,2,2,0,1,1,1
8558 Polonuevo,2,2,2,2,2,4,4
8560 Ponedera,1,2,3,3,3,2,3
8573 Puerto Colombia,2,2,2,3,3,4,5
8606 Repelón,2,3,3,1,2,3,3
8634 Sabanagrande,3,3,3,2,3,3,4
8638 Sabanalarga,3,3,2,4,3,4,6
8675 Santa Lucía,1,1,1,1,1,2,2
8685 Santo Tomás,2,2,2,2,2,3,4
8758 Soledad,2,3,3,3,3,4,5
8770 Suan,1,2,2,2,4,4,2
8832 Tubará,1,1,1,1,2,3,2
8849 Usiacurí,2,1,2,1,2,2,2
"11001 Bogotá, D.C.",4,4,3,4,4,4,6
13001 Cartagena De Indias,5,4,5,5,4,6,7
13006 Achí,2,1,1,2,3,3,3
13030 Altos Del Rosario,1,2,1,1,2,3,4
13042 Arenal,3,6,4,4,6,8,11
13052 Arjona,3,2,3,3,3,3,3
13062 Arroyohondo,2,2,1,3,2,2,1
13074 Barranco De Loba,2,2,2,2,1,3,3
13140 Calamar,2,2,2,2,2,3,2
13160 Cantagallo,4,1,1,2,3,2,4
13188 Cicuco,2,1,3,2,2,3,4
13212 Córdoba,1,1,1,1,1,1,2
13222 Clemencia,1,3,3,3,3,2,2
13244 El Carmen De Bolívar,3,2,3,3,3,4,4
13248 El Guamo,1,2,1,2,1,2,0
13268 El Peñón,0,1,1,2,1,2,2
13300 Hatillo De Loba,1,1,2,1,1,2,2
13430 Magangué,3,3,3,3,3,4,4
13433 Mahates,2,2,2,3,3,3,3
13440 Margarita,1,1,2,1,1,2,3
13442 María La Baja,3,3,3,4,4,3,4
13458 Montecristo,1,0,1,0,1,1,1
13468 Mompós,2,2,3,2,2,4,4
13473 Morales,1,1,1,2,2,1,2
13490 Norosí,0,0,1,0,1,1,1
13549 Pinillos,1,1,1,1,1,1,1
13580 Regidor,2,1,1,1,2,2,1
13600 Río Viejo,1,2,2,1,1,2,1
13620 San Cristóbal,1,1,2,1,1,0,0
13647 San Estanislao,1,1,1,1,1,1,1
13650 San Fernando,1,1,0,1,2,1,2
13654 San Jacinto,1,2,2,2,3,3,2
13655 San Jacinto Del Cauca,0,1,1,0,1,1,3
13657 San Juan Nepomuceno,2,2,2,2,2,2,2
13667 San Martín De Loba,1,2,2,2,2,2,3
13670 San Pablo,2,4,3,3,4,3,4
13673 Santa Catalina,1,2,1,2,2,2,4
13683 Santa Rosa,4,3,3,2,4,3,5
13688 Santa Rosa Del Sur,3,4,5,5,3,5,6
13744 Simití,3,3,2,4,5,3,4
13760 Soplaviento,2,1,2,0,1,1,1
13780 Talaigua Nuevo,1,1,1,2,2,3,3
13810 Tiquisio,1,2,2,1,1,1,2
13836 Turbaco,1,2,2,2,2,2,2
13838 Turbaná,1,2,3,3,2,3,3
13873 Villanueva,2,2,2,1,3,3,2
13894 Zambrano,1,1,1,1,1,2,3
15001 Tunja,5,4,3,4,4,4,6
15022 Almeida,0,0,5,3,0,3,3
15047 Aquitania,4,6,4,5,4,3,4
15051 Arcabuco,5,4,6,3,3,3,5
15087 Belén,4,4,4,3,3,5,4
15090 Berbeo,5,3,0,0,3,6,3
15092 Betéitiva,0,3,3,3,0,3,3
15097 Boavita,2,2,5,2,1,3,4
15104 Boyacá,7,6,3,5,7,3,8
15106 Briceño,0,4,0,4,2,4,0
15109 Buenavista,4,2,5,4,3,5,6
15114 Busbanzá,0,0,0,0,0,0,4
15131 Caldas,0,5,0,3,2,5,3
15135 Campohermoso,2,2,2,5,0,2,3
15162 Cerinza,0,2,2,3,4,5,4
15172 Chinavita,3,3,6,4,4,2,7
15176 Chiquinquirá,5,5,4,5,4,4,6
15180 Chiscas,0,1,3,1,3,1,0
15183 Chita,4,4,2,6,3,5,4
15185 Chitaraque,5,13,5,5,8,3,9
15187 Chivatá,5,2,4,4,0,3,2
15189 Ciénega,2,2,4,0,4,5,2
15204 Cómbita,3,3,2,5,4,2,4
15212 Coper,2,4,1,0,3,1,1
15215 Corrales,5,5,2,0,4,0,2
15218 Covarachía,4,3,2,5,2,4,7
15223 Cubará,1,2,2,2,2,2,2
15224 Cucaita,1,2,6,1,6,6,7
15226 Cuítiva,0,4,2,0,0,4,6
15232 Chíquiza,6,3,6,1,3,1,3
15236 Chivor,2,3,0,0,3,2,0
15238 Duitama,4,4,4,3,3,4,6
15244 El Cocuy,6,5,5,3,4,5,3
15248 El Espino,2,4,2,4,4,0,3
15272 Firavitoba,2,2,2,2,0,2,4
15276 Floresta,4,4,4,3,3,2,2
15293 Gachantivá,0,3,2,3,4,2,6
15296 Gámeza,4,2,4,2,4,2,4
15299 Garagoa,4,4,4,3,3,2,6
15317 Guacamayas,0,0,0,2,0,0,2
15322 Guateque,5,6,3,4,5,3,4
15325 Guayatá,4,0,3,3,2,3,3
15332 Güicán De La Sierra,2,4,5,4,2,2,2
15362 Iza,4,0,0,0,0,4,4
15367 Jenesano,3,6,1,5,2,6,4
15368 Jericó,5,6,6,6,2,3,3
15377 Labranzagrande,3,5,4,4,2,3,2
15380 La Capilla,2,2,0,2,0,2,4
15401 La Victoria,0,0,0,0,4,4,8
15403 La Uvita,2,2,2,0,0,2,3
15407 Villa De Leyva,3,2,3,5,2,3,4
15425 Macanal,2,5,4,2,3,2,2
15442 Maripí,2,4,2,3,1,4,3
15455 Miraflores,3,4,2,4,2,2,5
15464 Mongua,2,2,0,7,3,3,2
15466 Monguí,1,3,4,4,3,3,7
15469 Moniquirá,7,4,5,5,4,4,7
15476 Motavita,4,4,3,1,3,2,3
15480 Muzo,3,4,3,3,5,4,5
15491 Nobsa,2,4,4,3,3,3,5
15494 Nuevo Colón,5,3,3,2,5,7,3
15500 Oicatá,2,0,2,2,3,2,4
15507 Otanche,2,4,6,2,3,3,3
15511 Pachavita,5,2,0,0,2,0,0
15514 Páez,2,3,4,4,0,0,3
15516 Paipa,3,5,3,3,4,4,6
15518 Pajarito,3,0,3,5,0,0,6
15522 Panqueba,0,2,0,0,3,0,0
15531 Pauna,4,2,3,3,4,3,4
15533 Paya,0,0,2,0,3,0,0
15537 Paz De Río,4,2,5,1,3,3,5
15542 Pesca,3,4,2,3,2,1,3
15550 Pisba,2,0,0,0,2,4,5
15572 Puerto Boyacá,6,6,6,4,6,7,7
15580 Quípama,6,3,4,6,4,4,3
15599 Ramiriquí,4,6,3,3,2,5,6
15600 Ráquira,4,5,4,1,2,1,5
15621 Rondón,2,2,0,3,2,3,3
15632 Saboyá,3,3,4,4,2,3,3
15638 Sáchica,4,2,2,2,2,2,5
15646 Samacá,6,7,3,5,3,6,7
15660 San Eduardo,3,0,0,0,0,0,0
15664 San José De Pare,5,3,3,7,4,4,4
15667 San Luis De Gaceno,5,2,2,8,2,3,3
15673 San Mateo,3,4,2,3,2,2,3
15676 San Miguel De Sema,0,4,8,3,4,0,4
15681 San Pablo De Borbur,2,2,1,3,4,3,4
15686 Santana,6,8,5,3,8,5,7
15690 Santa María,2,1,3,3,2,2,2
15693 Santa Rosa De Viterbo,2,3,3,3,3,4,2
15696 Santa Sofía,4,3,3,0,5,0,2
15720 Sativanorte,5,0,2,2,6,6,4
15723 Sativasur,4,0,0,0,0,4,7
15740 Siachoque,2,2,2,2,5,4,2
15753 Soatá,4,3,2,3,3,2,3
15755 Socotá,5,2,4,3,3,4,5
15757 Socha,4,4,2,2,6,9,7
15759 Sogamoso,4,4,4,4,3,5,6
15761 Somondoco,0,0,2,4,8,2,2
15762 Sora,3,2,4,6,3,0,0
15763 Sotaquirá,6,5,5,6,4,5,7
15764 Soracá,1,5,5,2,2,4,5
15774 Susacón,0,3,2,6,0,2,5
15776 Sutamarchán,0,2,3,2,1,3,6
15778 Sutatenza,1,0,2,2,5,2,3
15790 Tasco,3,4,4,3,3,2,7
15798 Tenza,4,4,3,2,2,2,4
15804 Tibaná,3,6,3,2,2,2,3
15806 Tibasosa,1,2,3,2,2,3,3
15808 Tinjacá,2,0,2,3,2,3,0
15810 Tipacoque,3,3,5,5,4,3,3
15814 Toca,3,2,2,3,3,4,5
15816 Togüí,5,3,2,7,5,5,8
15820 Tópaga,2,3,8,2,1,3,9
15822 Tota,0,4,3,1,4,4,6
15832 Tununguá,2,2,0,0,0,3,5
15835 Turmequé,2,2,5,5,4,3,5
15837 Tuta,3,2,2,2,2,2,5
15839 Tutazá,4,4,4,4,5,2,4
15842 Úmbita,6,5,3,4,2,3,2
15861 Ventaquemada,3,3,1,4,3,3,4
15879 Viracachá,4,5,3,2,0,3,3
15897 Zetaquira,3,6,6,5,4,6,3
17001 Manizales,3,3,3,3,3,3,4
17013 Aguadas,4,4,3,4,3,3,5
17042 Anserma,5,4,4,3,4,3,4
17050 Aranzazu,6,4,3,5,7,3,6
17088 Belalcázar,2,5,4,3,2,3,5
17174 Chinchiná,5,6,6,7,6,6,7
17272 Filadelfia,1,4,3,2,2,3,3
17380 La Dorada,6,6,6,6,5,5,8
17388 La Merced,3,2,3,3,3,3,3
17433 Manzanares,3,3,3,3,4,3,3
17442 Marmato,6,5,3,4,5,5,5
17444 Marquetalia,4,2,4,5,3,4,6
17446 Marulanda,2,2,3,6,3,0,3
17486 Neira,4,6,5,4,5,5,5
17495 Norcasia,2,2,3,5,3,4,7
17513 Pácora,3,3,2,2,3,3,3
17524 Palestina,4,3,4,5,4,4,9
17541 Pensilvania,3,3,4,1,2,2,3
17614 Riosucio,4,5,4,4,4,4,6
17616 Risaralda,4,3,3,2,4,2,4
17653 Salamina,3,3,3,2,4,2,4
17662 Samaná,4,2,3,3,3,2,2
17665 San José,2,3,0,2,3,5,2
17777 Supía,5,4,4,5,4,5,6
17867 Victoria,3,2,3,2,3,2,4
17873 Villamaría,2,2,2,2,2,2,3
17877 Viterbo,4,4,5,5,3,4,8
18001 Florencia,5,5,5,5,6,7,7
18029 Albania,4,3,2,2,4,4,4
18094 Belén De Los Andaquíes,2,3,3,2,2,3,3
18150 Cartagena Del Chairá,3,4,3,5,3,4,5
18205 Curillo,6,5,6,9,5,7,6
18247 El Doncello,3,4,4,4,3,3,5
18256 El Paujíl,2,3,3,2,3,3,3
18410 La Montañita,2,1,2,2,2,1,3
18460 Milán,1,2,2,2,1,2,2
18479 Morelia,2,2,1,0,1,3,9
18592 Puerto Rico,3,3,4,3,2,4,3
18610 San José Del Fragua,6,5,4,5,6,3,8
18753 San Vicente Del Caguán,4,4,5,5,4,5,6
18756 Solano,2,1,2,2,1,2,2
18785 Solita,5,3,2,5,5,6,3
18860 Valparaíso,1,2,1,1,1,1,1
19001 Popayán,4,4,4,4,4,5,6
19022 Almaguer,2,1,2,2,2,2,2
19050 Argelia,5,7,6,4,8,11,8
19075 Balboa,3,4,3,3,4,3,5
19100 Bolívar,2,2,3,3,3,3,3
19110 Buenos Aires,2,2,3,3,2,2,3
19130 Cajibío,3,2,2,3,2,3,3
19137 Caldono,2,2,2,2,2,2,2
19142 Caloto,3,4,4,3,5,4,5
19212 Corinto,8,6,7,8,7,8,8
19256 El Tambo,3,4,3,3,4,4,4
19290 Florencia,3,2,5,3,3,3,6
19300 Guachené,1,1,2,2,2,2,3
19318 Guapi,2,1,2,2,2,2,3
19355 Inzá,3,2,2,2,3,2,3
19364 Jambaló,1,1,1,1,1,1,2
19392 La Sierra,2,4,2,4,3,3,2
19397 La Vega,2,2,2,2,1,1,2
19418 López De Micay,1,1,1,1,1,1,0
19450 Mercaderes,5,3,2,3,3,3,3
19455 Miranda,4,3,3,4,5,4,6
19473 Morales,2,1,1,2,2,2,2
19513 Padilla,2,3,3,4,4,6,6
19517 Páez,2,2,3,3,2,2,3
19532 Patía,4,4,4,5,4,4,6
19533 Piamonte,2,2,2,2,2,3,2
19548 Piendamó - Tunía,3,3,3,3,3,4,5
19573 Puerto Tejada,7,7,7,10,8,8,8
19585 Puracé,3,3,2,3,2,2,2
19622 Rosas,3,4,2,2,2,2,3
19693 San Sebastián,2,4,3,3,3,2,2
19698 Santander De Quilichao,4,4,3,4,6,5,6
19701 Santa Rosa,1,2,0,2,2,2,1
19743 Silvia,2,2,2,2,2,2,2
